Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Thousands,Thousands,Millions,Thousands,Thousands,Thousands,Millions,Thousands,Thousands,Thousands,Millions,Millions,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Total Current Liabilities,10570000,9042400,9130000,13796,13260000,14015600,13440000,15974,15010000,15906200,14300000,16657,15780,15980000,16783,17390,16844,18157,21413,25417,30385,33568,40080,39099,42101,40398,38280,41253,85107,103664,153588,158051,143338,162542,140692
Noncurrent Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term Borrowings,3020000,3353800,4750000,6062,7040000,7830400,7970000,7671,7610000,8782100,9430000,20724,21360,22300000,21082,20709,20551,19149,17898,18464,15256,16836,12222,19519,29616,30277,39985,44379,152905,150073,,119815,,105700,
Iborrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129324,,124054,,107463
Lease Liabilities,,,,,,,,,,,,,,,,,,,,,151,852,831,1143,1141,1029,2215,1935,2091,3589,,5198,5391,5581,5370
Ii Lease Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4924,,,,
Derivative Liabilities,,,,,,,,174,,,,191,,,61,,,,183,,350,,1461,1195,618,466,136,693,258,48,,189,232,747,683
Derivative Liability,,,,,,,,,,,,,,,,49,70,71,,1802,,714,,,,,,,,,,,,,
Deferred Tax Liability,400000,360500,350000,450,450000,421800,420000,,370000,369800,350000,,,,,,,,,,,,298,351,323,356,523,715,3818,3807,3915,3907,3577,2532,2417
Minority Interest,680000,711000,760000,823,870000,620000,690000,1121,1840000,3074900,3260000,2658,3275,3520000,3761,3953,4116,4517,4677,4855,6089,6451,6773,7696,8807,9393,10375,12118,46219,52950,54911,57268,60685,62516,25897
Provisions,50000,63400,70000,78,80000,95900,100000,150,170000,200500,220000,299,336,350000,360,374,391,409,493,531,661,830,858,968,1062,1157,917,983,2265,1052,2376,2260,2608,2715,3303
Other Non-current Liabilities,4360000,4879600,5500000,6030,6280000,5795700,6330000,5601,5570000,5552500,5480000,3711,3614,3640000,3516,3404,3384,3331,3423,6333,8052,8228,9494,9434,10253,10884,12151,13219,2901,3411,3107,3084,3366,3302,4813
Other Financial Liabilities,,,,,,,,6,,,,3,154,80000,2,1,1,1,2,1,,,5363,8652,15033,15033,15033,15068,46195,37351,,11575,28282,13927,5550
Iv.other Financial Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10725,,,,
Shareholders' Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Stock - Par Value,1000000,1000000,1000000,1000,1000000,1000000,1000000,1000,1000000,1000000,1000000,1000,1000,1000000,1000,3000,3000,3000,3000,3000,3000,6000,6000,6000,6000,6003,6003,6003,6003,6003,6003,6003,6003,6685,8105
Reserves & Surplus,27140000,28294500,29360000,29267,30340000,31211200,31940000,,32980000,35259600,36410000,,,,,,,,,,,,,,,,,,,,,,,,
Other Equity,,,,,,,,31622,,,,39338,43209,45280000,47377,46202,46393,47632,48808,54036,57980,57805,61058,64546,70269,72874,78322,90276,172666,183821,191834,203929,210437,261351,332213
Total Shareholders Equity,28140000,29294500,30360000,30267,31340000,32211200,32940000,32622,33980000,36259600,37410000,40338,44209,46280000,48377,49202,49393,50632,51808,57036,60980,63805,67058,70546,76269,78877,84325,96279,178669,189824,197837,209932,216440,268036,340318
Total Liabilities & Shareholders Equity,47220000,47705200,50920000,57506,59320000,60990600,61890000,63319,64550000,70145600,70450000,84581,88728,92150000,93942,95082,94750,96267,99897,114439,121924,131284,144438,158603,185223,187870,203940,226642,520428,545769,560707,571279,587973,627598,636506
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
