Date,Open,High,Low,Close,Volume,Adj_Close,Company,Country,Ticker
2021-01-01,223.0299987792969,230.25,223.0299987792969,229.9199981689453,6771900,193.6138153076172,Amgen,United States,AMGN
2021-01-08,231.25,238.8600006103516,223.6699981689453,238.4900054931641,14495900,200.8305511474609,Amgen,United States,AMGN
2021-01-15,240.0,246.8399963378906,234.4299926757812,245.4900054931641,11233500,206.7251739501953,Amgen,United States,AMGN
2021-01-22,246.5,255.2299957275391,246.1199951171875,253.5,9023600,213.4703826904297,Amgen,United States,AMGN
2021-01-29,252.0500030517578,276.6900024414062,240.25,241.4299926757812,16075900,203.3062896728516,Amgen,United States,AMGN
2021-02-05,244.3000030517578,245.4799957275391,231.3899993896484,236.3200073242188,14338400,199.0031890869141,Amgen,United States,AMGN
2021-02-12,237.9900054931641,240.3000030517578,233.4900054931641,237.2100067138672,10313300,201.2379455566406,Amgen,United States,AMGN
2021-02-19,236.0099945068359,237.6900024414062,230.8500061035156,231.6900024414062,8010300,196.5550689697266,Amgen,United States,AMGN
2021-02-26,230.3300018310547,238.0,223.6199951171875,224.9199981689453,14167200,190.8116760253906,Amgen,United States,AMGN
2021-03-05,225.8800048828125,228.1499938964844,220.25,227.7299957275391,13794500,193.195556640625,Amgen,United States,AMGN
2021-03-12,228.0800018310547,233.9600067138672,226.6999969482422,230.3600006103516,12464700,195.4266967773438,Amgen,United States,AMGN
2021-03-19,230.0,247.3999938964844,229.8000030517578,245.9400024414062,25205800,208.6440582275391,Amgen,United States,AMGN
2021-03-26,242.3600006103516,253.2799987792969,242.3600006103516,252.8600006103516,12248500,214.5146636962891,Amgen,United States,AMGN
2021-04-02,251.5299987792969,256.6000061035156,246.4100036621094,249.1699981689453,10215900,211.3842620849609,Amgen,United States,AMGN
2021-04-09,249.0599975585938,252.6300048828125,245.8099975585938,248.9499969482422,8856300,211.1975860595703,Amgen,United States,AMGN
2021-04-16,248.5200042724609,258.8200073242188,247.0899963378906,255.7100067138672,10376800,216.9324645996094,Amgen,United States,AMGN
2021-04-23,252.8500061035156,261.0,252.6399993896484,257.0299987792969,11895600,218.0523071289062,Amgen,United States,AMGN
2021-04-30,256.6499938964844,256.75,231.0299987792969,239.6399993896484,18992700,203.2994384765625,Amgen,United States,AMGN
2021-05-07,240.6699981689453,255.7299957275391,240.5500030517578,254.2100067138672,15212200,215.6599578857422,Amgen,United States,AMGN
2021-05-14,256.0,258.8099975585938,249.6799926757812,251.3800048828125,14381000,214.7586059570312,Amgen,United States,AMGN
2021-05-21,252.2899932861328,254.6600036621094,246.75,251.0099945068359,10709400,214.4424896240234,Amgen,United States,AMGN
2021-05-28,250.5599975585938,253.4799957275391,234.5800018310547,237.9400024414062,16515100,203.2765655517578,Amgen,United States,AMGN
2021-06-04,242.1999969482422,242.2799987792969,232.9400024414062,236.8500061035156,9952700,202.3453674316406,Amgen,United States,AMGN
2021-06-11,236.9199981689453,245.5,235.1999969482422,242.7700042724609,11497700,207.4028930664062,Amgen,United States,AMGN
