Date,Open,High,Low,Close,Volume,Company,Country,Ticker
2015-02-26,664.08,669.81,642.84,662.28,190511,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-27,662.36,666.2,651.81,656.86,114364,Ajanta Pharma,India,AJANTPHARM.NS
2015-02-28,657.78,681.84,657.78,675.05,168098,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-02,674.89,722.6,674.65,706.83,330289,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-03,711.03,746.93,701.41,737.33,362595,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-04,745.73,745.73,715.85,726.75,334365,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-05,722.84,728.86,706.48,721.92,192398,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-09,721.92,733.68,706.07,717.01,125468,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-10,718.02,723.56,712.0,719.19,189743,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-11,720.9,746.93,718.03,728.2,188670,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-12,734.86,833.67,734.16,791.75,2009059,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-13,798.74,812.83,734.89,750.09,820965,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-16,755.13,756.57,726.6,733.68,306878,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-17,739.7,768.62,738.98,744.81,413119,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-18,749.82,762.15,732.48,735.43,283496,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-19,740.67,747.41,729.34,739.04,274253,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-20,758.38,758.38,671.64,681.15,436638,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-23,687.12,722.18,655.37,701.21,349407,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-24,701.15,715.07,687.0,690.07,193520,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-25,694.53,716.69,693.32,708.74,219443,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-26,715.61,746.03,709.59,721.93,510801,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-27,727.66,742.81,713.8,725.76,235989,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-30,737.9,746.93,728.86,734.1,143549,Ajanta Pharma,India,AJANTPHARM.NS
2015-03-31,741.33,749.94,734.89,740.31,130953,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-01,743.92,754.16,727.09,736.87,222141,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-06,743.32,787.59,740.91,777.56,363146,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-07,782.47,800.54,777.05,792.38,284697,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-08,800.12,888.19,795.12,858.91,814923,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-09,861.38,865.6,825.24,851.32,365579,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-10,848.13,852.35,822.23,828.25,195102,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-13,828.25,837.29,798.74,806.06,166026,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-15,814.4,854.15,804.22,829.49,373625,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-16,834.85,858.37,819.46,853.31,351941,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-17,856.8,885.48,834.7,862.38,516452,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-20,861.98,869.36,840.9,857.32,173000,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-21,860.18,866.2,825.24,838.64,132942,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-22,837.29,849.73,813.28,827.74,134874,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-23,837.17,858.37,831.26,845.18,138339,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-24,845.18,851.74,793.1,801.93,132690,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-27,811.39,811.39,749.34,781.09,174866,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-28,781.27,786.09,734.89,745.22,359201,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-29,746.27,776.51,728.86,770.36,242112,Ajanta Pharma,India,AJANTPHARM.NS
2015-04-30,769.82,790.09,753.74,760.79,121697,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-04,769.79,827.89,763.23,799.16,278315,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-05,805.96,824.94,804.16,807.56,279185,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-06,814.97,873.34,813.22,855.66,1070945,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-07,860.48,863.91,798.74,809.43,435210,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-08,820.42,837.17,739.76,761.33,1030464,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-11,775.85,802.29,765.12,769.4,331104,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-12,774.04,777.05,729.19,751.39,206675,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-13,755.91,786.09,752.96,767.53,188108,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-14,759.1,778.86,749.94,774.1,151266,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-15,776.45,794.4,770.43,781.27,194519,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-18,783.74,798.13,781.27,791.39,158819,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-19,792.11,816.2,792.11,804.7,258473,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-20,807.23,828.85,807.23,819.16,134063,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-21,821.02,830.66,795.78,826.54,133614,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-22,828.37,855.39,819.52,850.06,179097,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-25,854.76,867.41,837.29,852.74,149594,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-26,855.33,886.08,834.94,872.26,401364,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-27,865.6,900.54,865.0,876.08,267581,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-28,879.45,892.71,867.41,874.21,190025,Ajanta Pharma,India,AJANTPHARM.NS
2015-05-29,878.85,961.62,875.84,951.53,1126052,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-01,951.74,1007.15,928.97,976.49,933992,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-02,972.82,991.34,929.3,938.61,601088,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-03,945.71,954.51,892.16,931.68,332790,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-04,936.62,962.58,916.23,938.55,726936,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-05,936.08,956.56,933.58,941.59,298704,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-08,945.71,948.63,880.87,895.66,436598,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-09,895.72,912.58,883.13,894.36,222825,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-10,900.84,924.63,897.52,908.91,244662,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-11,913.19,928.91,886.11,890.39,289388,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-12,888.49,900.36,864.39,876.86,299816,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-15,876.47,890.3,850.93,858.52,356459,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-16,856.56,859.52,834.31,843.82,470736,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-17,844.28,875.63,829.91,870.54,548346,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-18,879.45,915.47,878.25,906.77,552318,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-19,912.28,921.62,897.52,905.66,425975,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-22,912.52,924.96,907.31,917.4,283194,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-23,924.51,935.14,916.2,929.15,375528,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-24,930.05,954.75,929.57,937.31,400806,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-25,940.18,942.12,913.09,919.11,255444,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-26,917.99,950.77,906.92,945.63,382413,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-29,929.42,930.63,901.6,921.89,298364,Ajanta Pharma,India,AJANTPHARM.NS
2015-06-30,922.16,951.79,920.83,948.77,383078,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-01,949.07,975.32,949.07,957.84,435251,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-02,961.44,977.19,953.61,961.32,352536,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-03,962.68,977.13,954.21,959.81,302376,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-06,948.77,979.34,943.93,975.16,373035,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-07,980.33,988.68,969.42,974.95,376439,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-08,968.12,976.59,958.93,963.58,244887,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-09,967.52,981.42,963.28,968.66,280343,Ajanta Pharma,India,AJANTPHARM.NS
2015-07-10,970.84,976.4,959.62,967.09,220142,Ajanta Pharma,India,AJANTPHARM.NS
