relative_path,size_bytes,sha256
01_EVIDENCE\Indian\Cipla\df655c492401d947__Cipla_monthly_direct.csv,17369,df655c492401d947debe0d77626ddcee0fcc21a09fa218d7d1770e346109c303
01_EVIDENCE\Indian\Cipla\f6f6b8e74bb869b2__Cipla_annual_direct.csv,1647,f6f6b8e74bb869b2e5a3d587d2a27fb20e51d6ef248b5a3f32bd53df4b7729a2
01_EVIDENCE\Indian\Cipla\f8b619571ad2ba58__22Entities_Report_08-16-2026082729905.xlsx,31552,f8b619571ad2ba58639211537745a5b84616073610b79c14cacccfd9fe576ac2
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\05217259b1ae1e10__Glenmark_Pharmaceuticals_Balance.xlsx,3279,05217259b1ae1e107ceca0889f5e6dac90cd930c8a2e71c93797e77500740a74
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\07baa29374be1c9a__Glenmark_Pharmaceuticals_Balance_Sheet_Years.csv,7355,07baa29374be1c9a13706c6ea01213cfcc6a344e04c7ed8427b4d1c5b57c5a8b
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\1790f122c53dcbea__Glenmark_Pharmaceuticals.xlsx,453579,1790f122c53dcbeaa733b9f6132331f1d4aef49a06eb4c4d5659e37937f91e03
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\1ade01d2811f18aa__22Entities_Report_08-16-2026083755842.xlsx,47011,1ade01d2811f18aa5eeca82c70823b72d068c815e94295dab2711df26c9adc11
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\1e447ce91e6acd41__Glenmark_Pharmaceuticals_Balance_Sheet_Quarters.csv,12300,1e447ce91e6acd41cdb8798708870dea0ad02c2c9113def2f4f7cbbef79ee3e8
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\2e450facda9b02b4__Glenmark_Pharmaceuticals_Cashflow.xlsx,3279,2e450facda9b02b45958fa262181034bfc1ac758eb976e4a2ec30dbf93ebe222
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\3929c344bd99dace__22Entities_Report_08-16-2026082729831.xlsx,40740,3929c344bd99dacea76439833e4f591d42725f1731e29dbf429117631850fa38
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\403f38e594552df4__Glenmark_Pharmaceuticals_GLENMARK_NS_weekly_derived.csv,112803,403f38e594552df4ad9e4c245cad24859b605a35ebe5f3be89071e0c4c2da4fc
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\485fb82210480c7b__Glenmark_Pharmaceuticals_monthly_direct.csv,20883,485fb82210480c7b4bc8e8f2c236550751457a3b5e41e610139afd128fdfd569
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\4ba7ac550b40d689__Glenmark_Pharmaceuticals_weekly_derived.csv,88672,4ba7ac550b40d689047811a93cc70399f22cbcd17d045427bcc183a47fc79182
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\6fa2be95ca66b86b__Glenmark_Pharmaceuticals_Cash_Flow_YTD.csv,5572,6fa2be95ca66b86ba271962b15ae4ce633334d106d803c49027d6aac4131ce7b
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\6fc59c2d9a72e765__Glenmark_Pharmaceuticals_GLENMARK_NS_daily.csv,690338,6fc59c2d9a72e76546effa35b4e556e93ca4ace6b949db480eccecd176b39532
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\aeccd2c74cc011cc__Glenmark_Pharmaceuticals_daily.csv,446292,aeccd2c74cc011cc7a43f31659f8e854abeb96de84aa7e984aaf05065019c2d6
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\b7ff57f433fa298f__Glenmark_Pharmaceuticals_Income.xlsx,3278,b7ff57f433fa298f2ed66722ad438a718b9049c67f4c38b532b6a0df3137222a
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\c8bbe5e158a87cad__22Entities_Report_08-16-2026091001877.xlsx,15339,c8bbe5e158a87cad4adcc16693ca89797dcf55f343c7f57878c2937bcc269833
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\c9845a453a6d3897__Glenmark_Pharmaceuticals_annual_direct.csv,1978,c9845a453a6d3897a613c0063d48e62988a2fddefd93be7414007a942cc0af3b
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\de7655993dfc437d__Glenmark_Pharmaceuticals_Cash_Flow_Years.csv,8346,de7655993dfc437de227e9aabe97fc5fb0a5046bae6d7fca0d880df1791052ea
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\ed4e4721a2ca6f46__Glenmark_Pharmaceuticals_yfinance_annual_income.csv,4202,ed4e4721a2ca6f46c23dfaca5acd03ce7cbf29df83ed58bf51793a692ffb4f3d
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\eebaf7af877c9706__Glenmark_Pharmaceuticals_GLENMARK_NS_monthly_derived.csv,26257,eebaf7af877c970617ef65fd90a77bb7c8c23750660d6683c238442a743a0056
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\f0dec3d6180b242c__Glenmark_Pharmaceuticals_Income_Statement_Quarters.csv,17239,f0dec3d6180b242cf7a65fc68cac3e003b7b74b06606952b5f7d7976cb229ab1
01_EVIDENCE\Indian\Glenmark_Pharmaceuticals\fde6edc01cb7ad92__22Entities_Report_08-16-2026090001898.xlsx,18498,fde6edc01cb7ad92c9783b088cfc62b4ff5f85f27da2829fe9260eaca4789085
01_EVIDENCE\Indian\Jubilant_Pharmova\02b26e0e532962e7__22Entities_Report_08-16-2026082730036.xlsx,37189,02b26e0e532962e786b9b7ff643bac0894f0bcdbb0051198bcdf3b8248bbe507
01_EVIDENCE\Indian\Jubilant_Pharmova\0a6df24aadde26b7__Jubilant_Pharmova_Income.xlsx,3278,0a6df24aadde26b7a5333b854447686e69d9de4734e8160c96f148fa475d52cb
01_EVIDENCE\Indian\Jubilant_Pharmova\0c396aec924672f7__Jubilant_Pharmova_daily.csv,460088,0c396aec924672f7b22153acf6bee3e7d2d7e7ff44135ce4cbc2ce4de4e5dc1f
01_EVIDENCE\Indian\Jubilant_Pharmova\1bfa03903f4bc56c__Jubilant_Pharmova_JUBLPHARMA_NS_daily.csv,774360,1bfa03903f4bc56cd51f0b8ee02de87b47cc10fbd788f0738335acb01ae9a36a
01_EVIDENCE\Indian\Jubilant_Pharmova\20c9c3b39a46d2b0__Jubilant_Pharmova_JUBLPHARMA_NS_weekly_derived.csv,130713,20c9c3b39a46d2b076c856dd947a8214742194bbc9f2d2434348d0aec4332ed0
01_EVIDENCE\Indian\Jubilant_Pharmova\257b7599c9b5b7e5__Jubilant_Pharmova_weekly_derived.csv,92059,257b7599c9b5b7e56fc8c1239a6ca819257d07d8239b370cf4bd1acffb71ad04
01_EVIDENCE\Indian\Jubilant_Pharmova\282d85c8271fbba3__Jubilant_Pharmova_Cashflow.xlsx,3279,282d85c8271fbba3dbf7d8d143ac9a801075257b78222d5dd02584d578cd423b
01_EVIDENCE\Indian\Jubilant_Pharmova\3ee4439c33326070__22Entities_Report_08-16-2026090001961.xlsx,19760,3ee4439c33326070a332e4d7cb56f828d49a60adbdc97cae3a9ccae04df87e22
01_EVIDENCE\Indian\Jubilant_Pharmova\50f433fb98af4e8f__Jubilant_Pharmova_monthly_direct.csv,21464,50f433fb98af4e8f6b3ef8abb6245a3ea34819ce43b7e195ed0c667c29841bb8
01_EVIDENCE\Indian\Jubilant_Pharmova\5742027589485ca3__Jubilant_Pharmova_Income_Statement_Quarters.csv,13323,5742027589485ca36051b8ddb6dbe369fd6ac2b99ad69960c1940d40c696a7b4
01_EVIDENCE\Indian\Jubilant_Pharmova\5d21fa5b427cf3e5__Jubilant_Pharmova.xlsx,486695,5d21fa5b427cf3e5e16df0a90f25d2f4ea845c78e964298d05779da6e575f709
01_EVIDENCE\Indian\Jubilant_Pharmova\62b46087bb4f722f__Jubilant_Pharmova_Cash_Flow_Years.csv,9629,62b46087bb4f722f47580ad939447b42aca1bd955a8547df7d13cf3c6cbf5122
