Cost of Construction,-85900,-103100,-104600,-109700,-67100,-141500,-100300,-97300,-75600,-82800,-58100,-65600,-97100,-87700,-142700,-40000,-27800,-12900,,-2400,-200,-100,,-10100,-9100,-109400,-24800,-25200,-40900,-25500,-46100,-126300,-79700,-95900,-92300,-79600,-128900,-97400,-119100,-165900,-160700,-154900,-101000,-129100,-223800,-146300
Power and Fuel,,,-56900,-37900,-24200,-18700,,,-50200,-29400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumption of Raw Materials and Packing Materials,-77600,-76900,-77700,-65400,-55100,-40500,-34900,-67600,-62400,-127200,-69500,-117300,-177200,-63400,-54600,-180600,-95900,-121000,-58500,-148800,-14700,-24000,-25300,-31000,-20900,-40500,-23400,-17000,-24500,-20400,-19600,-23600,-13700,-12300,-13400,-24600,-15800,-32300,-28600,-14100,-18100,-19200,-34500,-25300,-38500,-40400
Changes in Inventories of Finished Goods and Work in Progress,2700,11900,58600,26300,-24000,-29900,-94500,-3300,-13400,20800,-57100,10900,86400,-53200,-76600,59600,-5100,28000,-87300,30300,-20800,9400,-7200,-6400,13600,23900,-30400,-6500,8900,3400,200,10900,700,,-24700,5800,3400,10200,-13100,-7100,8800,300,-17400,-4000,-10500,6500
Changes in Inventory (Expense Block),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5900,,,,,,,,,,,,
Employee Benefit Expense,-50300,-74000,-76200,-72000,-67100,-71300,-71500,-60100,-60800,-60100,-64700,-53400,-40100,-51200,-48500,-66200,-50000,-50200,-54500,-46200,-52200,-55000,-62000,-57900,-55900,-50100,-54700,-55900,-49600,-54500,-62100,-63400,-58900,-56000,-62700,-56300,-55800,-55500,-77300,-65200,-65600,-65000,-78300,-75500,-103200,-117400
Excise Duty,-3400,-10000,-2900,-6400,10800,-1900,,,5000,-5700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciation and Amortization Expenses,-19900,-19900,-19700,-19500,-19400,-17800,-18600,-4500,-14000,-13700,-9900,-23900,-12700,-6100,-6400,-5600,-7100,-7100,-6900,-7100,-9300,-9000,-9300,-9700,-10200,-10300,-11300,-11500,-11800,-14000,-16700,-16700,-16900,-17000,-18300,-18600,-26600,-14800,-25000,-26800,-26900,-27500,-27900,-28200,-34400,-33400
Exceptional Item-voluntary Retirement Scheme,,,,,,,,,,,-31200,-900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interest,-9700,-4900,-3800,-4900,-3900,-100,,,-100,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividend Income,,145600,,,,171300,100,1000,1200,207200,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income,1600,300,6200,4600,4000,1800,2300,23500,1300,39300,-600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance Costs,,,,,,,-200,-100,,,,-500,400,-300,-600,-400,-500,-600,-700,-600,-700,-900,-900,-800,-1000,-900,-1000,-1200,-700,-1000,-1100,-1200,-1100,-1300,-1300,-1300,-3700,-4800,-4900,-6700,-6900,-6200,-5900,-5600,-5500,-5700
Ciq Balancing Calc.-expenses,,-100,200,-200,,,,,,100,,,,100,,-200,,100,,,100,,,,,-100,,100,,,,,200,,,-100,100,,,,100,,-100,,,-100
Other Expenses,-58000,-99700,-56000,-52500,-42000,-46800,-93700,-101600,-47300,-34200,-32100,-68200,-115900,-76400,-40400,-44900,-33600,-63800,-45900,-42800,-41100,-51700,-32000,-37400,-33500,-73300,-34100,-62700,-49000,-56200,-39200,-61400,-50300,-66700,-66500,-66500,-79400,-73900,-65700,-81000,-79700,-90600,-70500,-92300,-93000,-100600
Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-106100,,,,,,,,,,,,
Earnings before Taxes,76700,221100,22300,14400,39300,199400,-29500,25700,33100,296200,-58300,-19100,33100,25700,88400,299500,39000,49100,21300,344700,9400,556300,25400,41100,58000,45900,48100,829300,43000,58200,43400,683300,110800,30400,115500,560300,108800,242300,193700,818300,273900,269200,197800,847800,257600,184400
Taxes and Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,-15800,-14300,-6300,-13300,-8100,-5700,-2400,-6700,-6600,-18500,5500,-400,-2700,-5400,-19000,-14700,-7200,-11400,-4900,800,-800,-1600,-3100,-9100,-9400,-9300,-8800,-89100,-2700,-15300,-3400,-43600,-3100,3600,-11300,-53400,-16700,-42400,-23400,-91600,-26800,-34500,-20200,-110500,-39000,-56600
Provision for Income Tax,-400,-13800,13000,-6400,-1500,-1600,6900,-3200,-1000,-2900,13400,4900,-2100,4100,-2000,8600,500,2100,-1500,1200,700,,-1200,200,100,-700,-800,-4400,900,1400,-1500,-27300,500,13000,-4600,-19600,200,-7300,3800,46500,13800,-12800,300,23300,6100,-28700
Provision for Income Tax,,,,18000,2000,400,,26600,,,,,,22200,1600,,,,,4900,,,,,,600,,,,2300,,,,,,29700,6900,20300,,,,15600,,,,-3000
Share of Profit/loss of Associates,,,,,,,,204200,,,,262500,274200,284500,266100,590300,497700,515600,352900,737300,671000,599600,864100,935700,807200,683000,452200,465800,478100,-37400,-224100,540900,348000,435500,344200,389700,515000,,384000,437100,393000,447000,438400,524300,376600,575200
Share of Associate Profit/loss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,508600,,,,,,,,
Difference in below EBT block,,,,,,,100,100,100,,100,100,-100,,100,,,,,-100,,,,,,-100,-100,,-100,-100,100,,,,,100,,,100,-100,,,100,,,
Net Income (Loss),60500,193000,29000,12700,31700,192500,-24900,246700,25600,274800,-39300,248000,302400,331100,335200,883700,530000,555400,367800,1088800,680300,1154300,885200,967900,855900,719400,490600,1201600,519200,9100,-185500,1153300,456200,482500,443800,906800,614200,721500,558200,1210200,653900,684500,616400,1284900,601300,671300
Supplementary Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),,100100,,,,44200,-31600,1300,,63500,-32900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS - Continuing Operations,0.45,0.72,0.11,0.05,0.12,0.72,-0.09,0.92,0.1,1.03,-0.15,0.93,1.13,1.24,1.28,3.41,2.05,2.15,1.43,4.24,2.65,4.5,3.45,3.77,3.33,2.8,1.91,4.68,2.02,0.04,-0.72,4.49,1.78,1.88,1.73,3.53,2.39,2.81,2.17,4.71,2.55,2.67,2.4,5,2.34,2.61
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
