Date,Open,High,Low,Close,Volume,Company,Country,Ticker
2014-11-14,58.36,59.52,57.68,58.26,2102963,Marksans Pharma,India,MARKSANS.NS
2014-11-17,57.92,60.78,56.71,59.04,3039777,Marksans Pharma,India,MARKSANS.NS
2014-11-18,58.94,60.35,58.75,59.09,2603302,Marksans Pharma,India,MARKSANS.NS
2014-11-19,59.13,60.49,58.26,59.62,2718976,Marksans Pharma,India,MARKSANS.NS
2014-11-20,59.62,63.3,59.23,62.19,10779219,Marksans Pharma,India,MARKSANS.NS
2014-11-21,62.72,63.93,60.69,61.17,5000803,Marksans Pharma,India,MARKSANS.NS
2014-11-24,61.85,62.53,59.62,60.3,2257749,Marksans Pharma,India,MARKSANS.NS
2014-11-25,59.91,60.49,53.56,55.55,7588213,Marksans Pharma,India,MARKSANS.NS
2014-11-26,55.84,56.9,54.87,56.37,2852968,Marksans Pharma,India,MARKSANS.NS
2014-11-27,55.89,58.07,55.89,57.15,1847039,Marksans Pharma,India,MARKSANS.NS
2014-11-28,57.58,58.41,56.23,56.81,2150734,Marksans Pharma,India,MARKSANS.NS
2014-12-01,56.42,59.47,54.38,55.84,1481654,Marksans Pharma,India,MARKSANS.NS
2014-12-02,55.26,57.0,54.38,55.98,3126313,Marksans Pharma,India,MARKSANS.NS
2014-12-03,55.79,57.44,55.74,56.08,2450928,Marksans Pharma,India,MARKSANS.NS
2014-12-04,56.08,57.0,55.31,55.74,1747530,Marksans Pharma,India,MARKSANS.NS
2014-12-05,56.08,56.71,55.11,55.45,1399542,Marksans Pharma,India,MARKSANS.NS
2014-12-08,54.97,56.61,53.8,53.95,1812661,Marksans Pharma,India,MARKSANS.NS
2014-12-09,53.46,54.53,51.48,51.82,1540629,Marksans Pharma,India,MARKSANS.NS
2014-12-10,51.48,52.88,51.38,52.3,1567155,Marksans Pharma,India,MARKSANS.NS
2014-12-11,52.64,53.12,51.14,52.15,1600391,Marksans Pharma,India,MARKSANS.NS
2014-12-12,52.59,53.03,50.51,51.09,1117607,Marksans Pharma,India,MARKSANS.NS
2014-12-15,50.6,58.02,50.41,57.34,7321726,Marksans Pharma,India,MARKSANS.NS
2014-12-16,56.71,57.34,53.51,54.14,3066063,Marksans Pharma,India,MARKSANS.NS
2014-12-17,52.45,55.35,48.57,51.43,3247307,Marksans Pharma,India,MARKSANS.NS
2014-12-18,52.83,55.26,52.74,54.29,2152544,Marksans Pharma,India,MARKSANS.NS
2014-12-19,54.97,62.38,53.32,60.35,10982305,Marksans Pharma,India,MARKSANS.NS
2014-12-22,60.98,62.91,59.52,60.06,6089797,Marksans Pharma,India,MARKSANS.NS
2014-12-23,60.3,64.85,59.62,62.82,8280438,Marksans Pharma,India,MARKSANS.NS
2014-12-24,62.91,64.18,61.07,61.51,3069176,Marksans Pharma,India,MARKSANS.NS
2014-12-26,61.51,62.33,59.72,60.15,1831418,Marksans Pharma,India,MARKSANS.NS
2014-12-29,60.64,61.8,59.62,60.06,1776874,Marksans Pharma,India,MARKSANS.NS
2014-12-30,60.35,61.56,59.28,59.81,1773124,Marksans Pharma,India,MARKSANS.NS
2014-12-31,59.96,60.54,59.33,59.57,1270371,Marksans Pharma,India,MARKSANS.NS
2015-01-01,59.81,61.75,59.43,61.02,2580228,Marksans Pharma,India,MARKSANS.NS
