,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aurobindo Pharma Limited | Income Statement (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSEI: AUROPHARMA (MI KEY: 4810875; SPCIQ KEY: 1514127),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2013 FQ3,2013 FQ4,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ1,2015 FQ2,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ2,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ2,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ2,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ2,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ2,2020 FQ3,2020 FQ4,2021 FQ1,2021 FQ2,2021 FQ3,2021 FQ4,2022 FQ1,2022 FQ2,2022 FQ3,2022 FQ4,2023 FQ1,2023 FQ2,2023 FQ3,2023 FQ4,2024 FQ1,2024 FQ2,2024 FQ3,2024 FQ4,2025 FQ1,2025 FQ2,2025 FQ3,2025 FQ4,2026 FQ1,2026 FQ2,2026 FQ3,2026 FQ4
Total Revenues,15700900,15703700,17155600,19138600,21405600,23298100,29110700,28812200,31661600,31620700,32989300,33651100,35056000,37823000,37895200,38039200,39299000,36824100,37008400,44461600,43691600,40929200,42940000,47776600,53335200,53244700,54603800,56210900,59259300,61910200,60403700,65371900,64983100,60796,58118.8,60385,60672.1,58582.5,62765.4,57965.6,64997.8,66078.7,69668.5,74064,75143,77157.7,77879.5,79320.7,81358.1,85169.3,79734.4,84062.9,88335.4,89703.8
Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw Materials Consumed,-8447000,-7558000,-7869300,-8516600,-9029400,-9815300,-9535100,-10056600,-11312900,-10323400,-11988500,-11944000,-12391300,-12323000,-12751600,-13297500,-13005900,-12794200,-13783300,-14395400,-13837100,-14277900,-16567800,-18743600,-19225600,-19912900,-18603800,-18154700,-20111500,-20379800,-20981700,-22251700,-20037900,-19901.4,-18600.5,-17748.4,-18325.2,-19044.2,-20117.1,-23487.4,-26214.9,-26705.7,-27568.3,-27089.1,-26755.2,-26348.8,-24666.6,,-27287.4,-27995.1,-25351.6,,-27548.8,-25053.5
Changes in Stock,,,,,,,,,,,,,,,,,,,,,,,,-18743600,,,,,,,,,,,,,-18325.2,,,-23487.4,,,,,,,,,,,,,,
Purchase of Trading Goods,-301000,-550200,-517300,-283800,-915500,-133100,-4629900,-4605800,-4521300,-3365700,-3225200,-3375000,-3769300,-3924700,-4089400,-3582900,-4436200,-3476900,-3404100,-3559100,-4428300,-4667300,-4351300,-4440200,-5518400,-5122200,-5300700,-5157000,-5531000,-5132400,-6015700,-6746400,-5469600,-4922.5,-3732.4,-4452.9,-6501.6,-4830.8,-4890.5,-4346.8,-5379.5,-5887.5,-5801.6,-6310.7,-7757.5,-7859.5,-6800.1,,-8238.9,-6361.8,-8078,,-8926.5,-9314.8
"Changes in Inventories of Finished Goods, Work in Progress and Stock in Trade",926000,61500,,,,,358700,2015500,967500,-46900,90100,197600,,-11300,471300,1032600,345000,1243000,2209100,275200,90400,2250500,,,845200,1308800,919100,-371500,-7500,478500,2923400,,-215200,753,-1329.4,-2854.8,,-1367,-3859.4,,2518.8,3283.5,1822.8,,,,,,,,,,,
Personnel Expenses,-1668200,-1751800,-526200,-391700,967700,970200,-3020900,-2921300,-3347100,-3733200,-3611900,-3730300,652400,-4068100,-4320800,-4265800,-4456400,-4634600,-4901700,-5187200,-5406800,-5812700,1846600,2754900,-6498000,-7134600,-7798600,-7771900,-7978000,-8643300,-8879900,3840900,-8807300,-8544,-8699.3,-8588.5,-2615.6,-8532.3,-8801.8,2153.9,-9217.2,-8519,-9519.7,,,,,,,,,,,
(B)purchases of Stock in Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7470.3,,,,-8460.5,,
(A)cost of Materials Consumed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-27418.5,,,,-25098,,
Other Expenditure,-3619800,-3504400,,,,,-5702000,-6871900,-7326100,-7590600,-7003300,-7009200,,-8469100,-8085800,-8348800,-8559900,-9541200,-8491500,-10319200,-9523500,-9943200,,,-11436100,-11458000,-12198000,-12875100,-13241600,-14483200,-13720400,,-15433300,-14653.4,-12564.4,-13907.4,,-14575.4,-15043,,-16234.4,-16879.1,-15924.7,,,,,,,,,,,
Changes in Stock,926000,61500,-526200,-391700,967700,970200,358700,2015500,967500,-46900,90100,197600,652400,-11300,471300,1032600,345000,1243000,2209100,275200,90400,2250500,1846600,2754900,845200,1308800,919100,-371500,-7500,478500,2923400,3840900,-215200,753,-1329.4,-2854.8,-2615.6,-1367,-3859.4,2153.9,2518.8,3283.5,1822.8,1032.4,3007,3599.5,739.9,,,78.1,1037.4,,,77.6
Depreciation and Amortization Expenses,-607900,-692800,,,,,-908300,-898500,-672600,-846700,-889900,-926300,,-1114000,-1062400,-1102000,-1111400,-1000500,-1311800,-1320800,-1380800,-1566300,,,-1631200,-1866200,-2408600,-2433100,-2501300,-2324100,-2555200,,-2765200,-2660,-2796.9,-2942.1,,-2535.7,-2795.1,,-3214,-3455.7,-3265.6,,,,,,,,,,,
"C, Change in Inventories of Finished Goods, Stock-in-trade and Work-in-progress",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2786.1,,,,169.9,,
"(C) Changes in inventories of finished goods, stock-in-trade and work",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2372.2,,,,1663.2,
Personnel Expenses,-1668200,-1751800,-1889100,-1959600,-2134300,-2222000,-3020900,-2921300,-3347100,-3733200,-3611900,-3730300,-4015900,-4068100,-4320800,-4265800,-4456400,-4634600,-4901700,-5187200,-5406800,-5812700,-5961300,-6254800,-6498000,-7134600,-7798600,-7771900,-7978000,-8643300,-8879900,-9119000,-8807300,-8544,-8699.3,-8588.5,-8689.1,-8532.3,-8801.8,-8684.5,-9217.2,-8519,-9519.7,-9549.7,-9896.8,-10263.2,-10719.5,-11094.8,-11315.5,-11626.4,-12288,-12773.3,-13100.6,-13739.8
Share of Profit/loss of Joint Ventures,,,,,,,,,,,,,,-1300,7300,-4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency Translation Gain(Loss),-733600,-13000,-719200,-766200,-759700,-880200,14200,-420200,-202000,11900,-105800,-439200,-993500,-52000,70400,201900,158000,190300,-76600,-4400,72600,-159200,-1545300,-1636800,504500,-28400,47800,-272300,89400,-261900,222200,-2573400,605600,142.3,285.9,18.9,-2990.5,197.2,-282.6,-2981,121.3,226.5,376.8,,,,,,,,,,,
Currency Translation Gain(Loss),,,,,,,,,,,,,,153400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Expenditure,-3619800,-3504400,-3276600,-3603400,-3856100,-4651600,-5702000,-6871900,-7326100,-7590600,-7003300,-7009200,-7354600,-8469100,-8085800,-8348800,-8559900,-9541200,-8491500,-10319200,-9523500,-9943200,-9676700,-10570300,-11436100,-11458000,-12198000,-12875100,-13241600,-14483200,-13720400,-16230100,-15433300,-14653.4,-12564.4,-13907.4,-13728,-14575.4,-15043,-14660,-16234.4,-16879.1,-15924.7,-16244.8,-16102.2,-18058.6,-18028.2,,-19037.5,-19996.8,-17967,,-20812.9,-22493.5
Finance Costs,-331200,-316000,,,,,-188500,-209700,-218900,-226000,-208300,-240600,,-250800,-206400,-175400,-142600,-142800,-168700,-172700,-188600,-247200,,,-476500,-500800,-498900,-409400,-371100,-318300,-210700,,-194900,-182.2,-128.8,-104.2,,-92.1,-146.3,,-449.6,-556,-565.5,,,,,,,,,,,
H) Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19101.8,,,,-19914.1,,
Depreciation and Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3822.8,,,,-4291.9,,
Other Income/expense,56400,140900,-1724100,-682900,20800,355600,108100,272900,359200,67400,293700,121900,139900,,,,,,,,,,-681600,-397300,,,,,,,,65700,,,,,197.6,,,-461,,,,,,,,,,,,,,
Exceptional Items,,,-253900,-245800,-237400,-342300,,,,,,,-227000,,,,,,,,,,-295400,-353900,-250400,-361800,-127000,-127600,-129200,122500,,-157100,28138900,6.9,,,-161.3,-1627.6,,-252.9,,,-697.5,,,,,,,,,,,
Depreciation and Amortization Expenses,-607900,-692800,-719200,-766200,-759700,-880200,-908300,-898500,-672600,-846700,-889900,-926300,-993500,-1114000,-1062400,-1102000,-1111400,-1000500,-1311800,-1320800,-1380800,-1566300,-1545300,-1636800,-1631200,-1866200,-2408600,-2433100,-2501300,-2324100,-2555200,-2573400,-2765200,-2660,-2796.9,-2942.1,-2990.5,-2535.7,-2795.1,-2981,-3214,-3455.7,-3265.6,-4175,-4232.7,-3543.3,-4041.8,,,,-4057,,,
"(G) Depreciation, amortization and impairment expenses",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4185.3,-4444.3,,,-4647.3,-4785.7
Provision for Income Tax,,,39200,51100,35600,89700,,,,,,,75400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Income(Loss) from Equity Investments, After-Tax",,,,,,,,,,,,,,,,,,,,,,,,-268400,,,,,,,,,,,,,347.9,,,,,,,,,,,,,,,,,
Currency Translation Gain(Loss),-733600,-13000,-1724100,-682900,20800,355600,14200,-420200,-202000,11900,-105800,-439200,139900,-52000,70400,201900,158000,190300,-76600,-4400,72600,-159200,-681600,-397300,504500,-28400,47800,-272300,89400,-261900,222200,65700,605600,142.3,285.9,18.9,197.6,197.2,-282.6,-461,121.3,226.5,376.8,-297.9,451.7,-142.8,10,145.8,-498.3,116,-3.9,49.8,335,-481.6
Finance Costs,-331200,-316000,-253900,-245800,-237400,-342300,-188500,-209700,-218900,-226000,-208300,-240600,-227000,-250800,-206400,-175400,-142600,-142800,-168700,-172700,-188600,-247200,-295400,-353900,-476500,-500800,-498900,-409400,-371100,-318300,-210700,-157100,-194900,-182.2,-128.8,-104.2,-161.3,-92.1,-146.3,-252.9,-449.6,-556,-565.5,-681.8,-755.5,,-1110.4,,-1184.8,-1150.2,-977.5,,-927.7,-982.1
(E) Finance Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-894.3,,-1127,,,,-952.4,,
Other Income/expense,56400,140900,39200,51100,35600,89700,108100,272900,359200,67400,293700,121900,75400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,-268400,-250400,-361800,-127000,-127600,-129200,122500,,,28138900,6.9,,,347.9,-1627.6,,,,,-697.5,,,-1221.1,,,,,,,-653.3,
Earnings before Taxes,974600,1519900,,,,,5607000,5116600,5387400,5567500,6340200,6306000,,7608700,7857400,8295400,7931600,6476900,7079800,9778000,9016900,6505900,,,9144200,8168600,8587300,8638300,9388100,10968200,10963500,,40198600,10692.4,10267.1,9786.7,,5977.4,6829.6,,6807,7359.2,8148.4,,,,,,,,,,,
Minority Interest (After Tax),,,419100,2739700,5497300,6669100,,,,,,,7172100,,,,,,,,,,5707200,7866200,,,,,,,,12135100,,,,,8008.7,,,5245.9,,,,,,,,,,,,,,
Earnings before Taxes,974600,1519900,419100,2739700,5497300,6669100,5607000,5116600,5387400,5567500,6340200,6306000,7172100,7608700,7857400,8295400,7931600,6476900,7079800,9778000,9016900,6505900,5707200,7866200,9144200,8168600,8587300,8638300,9388100,10968200,10963500,12135100,40198600,10692.4,10267.1,9786.7,8008.7,5977.4,6829.6,5245.9,6807,7359.2,8148.4,10747.4,12650.1,12425.6,13252.8,12071.6,11982.6,13672.8,12048.8,12742.6,13381.5,12930.4
Taxes and Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,-64600,-445200,,,,,-1464300,-1404300,-1563400,-1534000,-1634300,-1766900,,-2063600,-2008400,-2239900,-2176700,-1171500,-1909900,-1979600,-3069400,-1146700,,,-2136500,-2065600,-2066900,-2169500,-2179600,-3102700,-3652500,,-10815500,-4492.3,-2431.6,-2177.6,,-105.2,-1891,,-1360.7,-5803.9,-3404.7,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,-422200,,,-166400,-245600,-325100,-97900,-152900,-57000,640600,,240700,35.4,-252.1,-531.5,,-69.7,304.9,,-530.3,3562.4,981.5,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,345000,,,255100,,114400,23700,3900,1016200,,,,1860,206.3,,,,,,,,,,,,,,,,,,,
"Income(Loss) from Equity Investments, After-Tax",,,,,,,,,,,13300,-14300,,,,,30100,16800,13400,11300,1100,5600,,,25700,-5200,47100,700,-6400,-193100,-120000,,-144600,-83.7,-90,-110.5,,-41.1,-39.7,,-5.9,-58.6,-28.1,,,,,,,,,,,
Minority Interest (After Tax),8100,11400,,,,,11600,9500,19500,4500,5300,10700,,2600,600,900,900,2300,1800,1800,1500,-2500,,,100,1600,1500,3300,1400,8400,-1000,,1400,4,,2.8,,3.2,1.6,,2.5,3.6,10.4,,,,,,,,,,,
Operating Income (Loss),,,,,,,,,,,,,16800,,,,,,,,,,4100,2400,,,,,,,,-205300,,,,,-70.9,,,,,,,,,,,,,,,,,
Basic EPS - Continuing Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.3,,,,,,,,,,,,,,
Basic Earnings Per Share – Total,,,11400,10900,13700,1800,,,,,,,-3600,,,,,,,,,,700,700,,,,,,,,5800,,,,,4.4,,,-9.2,,,,,,,,,,,,,,
Provision for Income Tax,-64600,-445200,-244500,-401100,-1336100,-1652800,-1464300,-1404300,-1563400,-1534000,-1634300,-1766900,-1742200,-2063600,-2008400,-2239900,-2176700,-1171500,-1909900,-1979600,-3069400,-1146700,-1094900,-1989700,-2136500,-2065600,-2066900,-2169500,-2179600,-3102700,-3652500,-4236500,-10815500,-4492.3,-2431.6,-2177.6,-2476,-105.2,-1891,-1659.2,-1360.7,-5803.9,-3404.7,-4818.3,-3846,-5706.4,-4492.7,-3221.3,-4980.7,-4305.1,-4907.2,-4630.3,-3833.6,-3990.3
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,-422200,-127400,-118400,-166400,-245600,-325100,-97900,-152900,-57000,640600,379200,240700,35.4,-252.1,-531.5,581.1,-69.7,304.9,529.3,-530.3,3562.4,981.5,1581.3,621.5,2480.9,436,-683.8,1437.9,-17.5,1081.2,352.4,-453.6,292.6
Provision for Income Tax,,,,,,,,,,,,,,,,,,,,,,345000,66900,353900,255100,,114400,23700,3900,1016200,,,,1860,206.3,,,,,,,,,,,,,,,,,,,
Share of Profit/loss of Associates and Joint Ventures (net of Tax),,,,,,,,,,,13300,-14300,16800,,,,30100,16800,13400,11300,1100,5600,4100,2400,25700,-5200,47100,700,-6400,-193100,-120000,-205300,-144600,-83.7,-90,-110.5,-70.9,-41.1,-39.7,-12.3,-5.9,-58.6,-28.1,9,-25.9,-126.6,-13.9,3,15.9,-321.9,19.2,16.6,3.7,-24.3
Minority Interest (After Tax),8100,11400,11400,10900,13700,1800,11600,9500,19500,4500,5300,10700,-3600,2600,600,900,900,2300,1800,1800,1500,-2500,700,700,100,1600,1500,3300,1400,8400,-1000,5800,1400,4,,2.8,4.4,3.2,1.6,-9.2,2.5,3.6,10.4,52.4,-36.8,14,10,4.3,2.4,6.4,5.5,3.2,4.9,4.2
Net Income (Loss),918100,1086100,,,,,4154300,3721800,3843500,4038000,4724500,4535500,,5547700,5849600,6056400,5785900,5324500,5185100,7811500,5950100,5285100,,,7122200,5853800,6358300,6398600,7054500,8640000,7830600,,29480600,8015.8,7699.7,6969.9,,5764.6,5205.4,,4912.6,5062.7,5707.5,,,,,,,,,,,
Diluted Earnings Per Share – Total,,,186000,2349500,4174900,5018100,,,,,,,5443100,,,,,,,,,,4556600,6115100,,,,,,,,8078300,,,,,6047.3,,,4094.5,,,,,,,,,,,,,,
Net Income (Loss),918100,1086100,186000,2349500,4174900,5018100,4154300,3721800,3843500,4038000,4724500,4535500,5443100,5547700,5849600,6056400,5785900,5324500,5185100,7811500,5950100,5285100,4556600,6115100,7122200,5853800,6358300,6398600,7054500,8640000,7830600,8078300,29480600,8015.8,7699.7,6969.9,6047.3,5764.6,5205.4,4094.5,4912.6,5062.7,5707.5,7571.8,9362.9,9087.5,9192.2,8173.8,8458.1,9034.7,8247.5,8484.5,9102.9,9212.6
Supplementary Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),1983000,1708000,,,,,5673200,5473600,5449100,5714200,6360600,6863900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS - Continuing Operations,3.15,3.73,,,,,14.25,6.39,6.6,6.92,8.09,7.77,,9.49,9.99,10.41,9.88,9.1,8.85,13.33,10.16,9.02,,,12.15,9.99,10.85,10.92,12.04,14.73,13.32,,50.31,13.67,13.14,11.89,,9.84,8.88,,8.38,8.64,9.74,,,,,,,,,,,
Diluted EPS - Continuing Operations,3.15,3.73,,,,,14.24,6.38,6.58,6.91,8.09,7.76,,9.49,9.99,10.4,9.88,9.1,8.85,13.33,10.16,9.02,,,12.15,9.99,10.85,10.92,12.04,14.73,13.32,,50.31,13.67,13.14,11.89,,9.84,8.88,,8.38,8.64,9.74,,,,,,,,,,,
Operating Income (Loss),1983000,1708000,2357900,3617300,5678300,6566100,5673200,5473600,5449100,5714200,6360600,6863900,7183800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS - Continuing Operations,3.15,3.73,0.64,8.07,14.34,17.23,14.25,6.39,6.6,6.92,8.09,7.77,9.32,9.49,9.99,10.41,9.88,9.1,8.85,13.33,10.16,9.02,7.78,10.44,12.15,9.99,10.85,10.92,12.04,14.73,13.32,13.78,50.31,13.67,13.14,11.89,10.32,9.84,8.88,6.99,8.38,8.64,9.74,12.83,16.04,15.51,15.69,14,14.56,15.56,14.2,14.61,15.67,15.86
Diluted EPS - Continuing Operations,3.15,3.73,0.64,8.06,14.32,17.21,14.24,6.38,6.58,6.91,8.09,7.76,9.31,9.49,9.99,10.4,9.88,9.1,8.85,13.33,10.16,9.02,7.78,10.44,12.15,9.99,10.85,10.92,12.04,14.73,13.32,13.78,50.31,13.67,13.14,11.89,10.32,9.84,8.88,6.99,8.38,8.64,9.74,12.83,16.04,15.51,15.69,14,14.56,15.56,14.2,14.61,15.67,15.86
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
