Provision for Income Tax,-8.28,-19.55,-60.31,-93.03,-105.49,-137.15,-103536822,-125.66,-73.29,1.71,-43835677,-18.03,-2.09,-23.31,-6582274,-41.05,-55.09,-30.52,-7.25,-62.48,-67.08,-50.61,-55.67,-45.8,-81.82,-84.73,-111.71,-154.44,-140.44,-197.09,-174.97,-130.94,-137.53,-128.98,-173.57,-158.24,-191.12,-164.19,-202.12,-251.44,-304.36,-275.31,-301.97,-300.08,-362.91,-372.33,-237.5,-196.08,-358.57,-389.5,-555.49,-518.94
Minority Interest (After Tax),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.8,,,,,,,,,,,,
Provision for Income Tax,,,,,,,,,,,,-3,-1.43,-0.09,,-11.3,13.45,-7.39,-0.78,-4.46,-4.43,6.44,-7.6,-5.5,-3.37,-3.02,-32.77,34.07,-11.2,10.1,-2.29,9.1,2.64,8.2,-55.81,-4.37,14.01,-4.77,-15.85,-12.44,-1.34,-16.28,-5.46,-9.43,94.54,-7.81,-10.91,12.12,16.62,-10.17,-20.17,0.1
Provision for Income Tax,,,,,,,,,,,,,11.78,7.13,,-0.04,,,,12.15,,,-4.95,,8.28,,-3.75,,,,,,,,-0.08,,,,3.33,,6.52,-5.34,81.11,,,-1.78,-5.27,,,30.33,66,47.2
Minority Interest (After Tax),-3.81,-5.21,-3.06,-4.49,-4.96,-7.17,-9056666,-8.67,-8.34,-7.21,-18094975,-8.47,-0.69,-15.63,24790000,,-9.87,-6.89,,,,,,,,,,,,,,-7.54,-7.97,,,-4.69,11.32,11.02,-7.78,-17.8,-3.32,2.7,6.47,-3.15,-10.44,-5.04,-1.8,1.15,-8.89,-4.88,-9.03,-22.4
Difference in below EBT block,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,
Net Income (Loss),187.83,200.11,106.32,254.69,311.63,277.17,250476770,314.69,348.71,179.34,-57593886,44.31,6.8,99.57,-37338585,144.18,94.23,167.66,-64.81,248.78,205.73,251.34,98.53,224.82,259.7,295.6,427.4,493.65,507.34,589.4,794.98,618.46,454.91,482.72,296.53,597.16,612.53,634.08,819.32,686.58,835.18,832.35,782.9,887.52,967.16,1045.63,905.46,583.17,982.5,1132.02,1481.29,1571.67
Supplementary Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS - Continuing Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,
Operating Income (Loss),232.52,264.81,206.78,387.59,469.95,484.9,,478.83,458.99,208.24,-1146030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS - Continuing Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,
Basic EPS - Continuing Operations,0.49,0.52,0.28,0.66,0.81,0.72,,0.77,0.85,0.44,,0.11,0.02,0.24,,0.33,0.23,0.41,-0.17,0.58,0.48,0.6,0.21,0.52,0.63,0.71,1,1.2,1.21,1.42,1.93,1.51,1.11,1.2,0.69,1.46,1.52,1.56,1.97,1.52,1.84,1.84,1.73,1.95,2.13,2.31,2,1.29,2.17,2.5,3.27,3.47
Diluted EPS - Continuing Operations,0.49,0.52,0.28,0.66,0.81,0.72,,0.77,0.85,0.44,,0.11,0.02,0.24,,0.33,0.23,0.41,-0.17,0.58,0.48,0.6,0.21,0.52,0.63,0.71,1,1.2,1.21,1.42,1.93,1.51,1.11,1.2,0.69,1.46,1.52,1.56,1.97,1.52,1.84,1.84,1.73,1.95,2.13,2.31,2,1.29,2.17,2.5,3.27,3.47
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
