pdf,page,stmt,item,value,source,context
Rovi_Annual_2017_ENG,297,income,net_income,2993231842.0,table,"PROFIT FOR THE YEAR | 29,932 31,842 (1,910)"
Rovi_Annual_2018_ENG,12,income,revenue,22.0,table,Net sales |  | 
Rovi_Annual_2018_ENG,12,income,net_income,16.0,table,PROFIT FOR THE YEAR |  | 
Rovi_Annual_2018_ENG,83,balance,revenue,6.3,text,"According to MSD, net sales of these products in Spain and France, were approximately 6.3 million US dollars in 2017."
Rovi_Annual_2018_ENG,248,balance,revenue,6.3,text,"According to MSD, net sales of these products in Spain and France, were approximately 6.3 million US dollars in 2017."
Rovi_Annual_2018_ENG,372,balance,revenue,61.0,table,a) Trade receivables for sales of goods and services | 0061 | 184.738
Rovi_Annual_2018_ENG,372,balance,total_assets,100.0,table,TOTAL ASSETS (A+B) | 0100 | 413.960
Rovi_Annual_2018_ENG,374,income,revenue,205.0,table,(+) Net revenue | 0205 | 144.125
Rovi_Annual_2018_ENG,374,income,ebit,245.0,table,= OPERATING PROFIT/(LOSS) | 0245 | (4.381)
Rovi_Annual_2018_ENG,378,cashflow,operating_cashflow,435.0,table,A) CASH FLOWS FROM OPERATING ACTIVITIES (1+2+3+4) | 0435 | (10.114)
Rovi_Annual_2018_ENG,379,balance,total_assets,1100.0,table,TOTAL ASSETS (A+B) | 1100 | 402.700
Rovi_Annual_2018_ENG,380,balance,total_equity,1200.0,table,TOTAL EQUITY AND LIABILITIES (A + B + C) | 1200 | 402.700
Rovi_Annual_2018_ENG,381,income,revenue,1205.0,table,(+) Net revenue | 1205 | 156.894
Rovi_Annual_2018_ENG,381,income,ebit,1245.0,table,= OPERATING PROFIT/(LOSS) | 1245 | 9.975
Rovi_Annual_2018_ENG,385,cashflow,operating_cashflow,1435.0,table,A) CASH FLOWS FROM OPERATING ACTIVITIES (1 + 2 + 3 + 4) | 1435 | 8.531
Rovi_Annual_2019_ENG,12,income,revenue,22.0,table,"CONTINUING OPERATIONS Net sales | 22 a) | 379,221"
Rovi_Annual_2019_ENG,12,income,net_income,16.0,table,"PROFIT FOR THE YEAR | 16 | 25,553"
Rovi_Annual_2019_ENG,370,balance,revenue,61.0,table,a) Trade receivables for sales of goods and services | 0061 | 142.350
Rovi_Annual_2019_ENG,370,balance,total_assets,100.0,table,TOTAL ASSETS (A+B) | 0100 | 415.476
Rovi_Annual_2019_ENG,372,income,revenue,205.0,table,(+) Net revenue | 0205 | 201.812
Rovi_Annual_2019_ENG,372,income,ebit,245.0,table,= OPERATING PROFIT/(LOSS) | 0245 | 8.105
Rovi_Annual_2019_ENG,376,cashflow,operating_cashflow,435.0,table,A) CASH FLOWS FROM OPERATING ACTIVITIES (1+2+3+4) | 0435 | (30.035)
Rovi_Annual_2019_ENG,377,balance,total_assets,1100.0,table,TOTAL ASSETS (A+B) | 1100 | 511.211
Rovi_Annual_2019_ENG,378,balance,total_equity,1200.0,table,TOTAL EQUITY AND LIABILITIES (A + B + C) | 1200 | 511.211
Rovi_Annual_2019_ENG,379,income,revenue,1205.0,table,(+) Net revenue | 1205 | 203.777
Rovi_Annual_2019_ENG,379,income,ebit,1245.0,table,= OPERATING PROFIT/(LOSS) | 1245 | 25.091
Rovi_Annual_2019_ENG,383,cashflow,operating_cashflow,1435.0,table,A) CASH FLOWS FROM OPERATING ACTIVITIES (1 + 2 + 3 + 4) | 1435 | (9.044)
Rovi_Annual_2020_ENG,384,balance,revenue,61.0,table,a) Trade receivables for sales of goods and services | 0061 | 292.992
Rovi_Annual_2020_ENG,384,balance,total_assets,100.0,table,TOTAL ASSETS (A+B) | 0100 | 555.527
Rovi_Annual_2020_ENG,386,income,revenue,205.0,table,(+) Net revenue | 0205 | 238.953
Rovi_Annual_2020_ENG,386,income,ebit,245.0,table,= OPERATING PROFIT/(LOSS) | 0245 | 24.221
Rovi_Annual_2020_ENG,390,cashflow,operating_cashflow,435.0,table,A) CASH FLOWS FROM OPERATING ACTIVITIES (1+2+3+4) | 0435 | 13.905
Rovi_Annual_2020_ENG,391,balance,total_assets,1100.0,table,TOTAL ASSETS (A+B) | 1100 | 574.439
Rovi_Annual_2020_ENG,392,balance,total_equity,1200.0,table,TOTAL EQUITY AND LIABILITIES (A + B + C) | 1200 | 574.439
Rovi_Annual_2020_ENG,393,income,revenue,1205.0,table,(+) Net revenue | 1205 | 228.832
Rovi_Annual_2020_ENG,393,income,ebit,1245.0,table,= OPERATING PROFIT/(LOSS) | 1245 | 41.791
Rovi_Annual_2020_ENG,397,cashflow,operating_cashflow,1435.0,table,A) CASH FLOWS FROM OPERATING ACTIVITIES (1 + 2 + 3 + 4) | 1435 | 46.876
Rovi_Annual_2021_ENG,185,balance,revenue,61.0,table,a) Trade receivables for sales of goods and services | 0061 | 185.745
Rovi_Annual_2021_ENG,185,balance,total_assets,100.0,table,TOTAL ASSETS (A+B) | 0100 | 478.099
Rovi_Annual_2021_ENG,187,income,revenue,205.0,table,(+) Net revenue | 0205 | 275.059
Rovi_Annual_2021_ENG,187,income,ebit,245.0,table,= OPERATING PROFIT/(LOSS) | 0245 | 25.793
Rovi_Annual_2021_ENG,191,cashflow,operating_cashflow,435.0,table,A) CASH FLOWS FROM OPERATING ACTIVITIES (1+2+3+4) | 0435 | 64.680
Rovi_Annual_2021_ENG,192,balance,total_assets,1100.0,table,TOTAL ASSETS (A+B) | 1100 | 732.676
Rovi_Annual_2021_ENG,193,balance,total_equity,1200.0,table,TOTAL EQUITY AND LIABILITIES (A + B + C) | 1200 | 732.676
Rovi_Annual_2021_ENG,194,income,revenue,1205.0,table,(+) Net revenue | 1205 | 358.627
Rovi_Annual_2021_ENG,194,income,ebit,1245.0,table,= OPERATING PROFIT/(LOSS) | 1245 | 118.152
Rovi_Annual_2021_ENG,198,cashflow,operating_cashflow,1435.0,table,A) CASH FLOWS FROM OPERATING ACTIVITIES (1 + 2 + 3 + 4) | 1435 | 149.441
Rovi_Annual_2024_ENG,9,income,revenue,3.15,text,3.15 Revenue recognition
Rovi_Annual_2024_ENG,9,income,net_income,16.0,text,16 Profit for the year
Rovi_Annual_2024_ENG,9,balance,revenue,3.15,text,3.15 Revenue recognition
Rovi_Annual_2024_ENG,9,balance,net_income,16.0,text,16 Profit for the year
Rovi_Annual_2024_ENG,9,cashflow,revenue,3.15,text,3.15 Revenue recognition
Rovi_Annual_2024_ENG,9,cashflow,net_income,16.0,text,16 Profit for the year
