S&P Capital IQ - Standard,2014 FQ1,2014 FQ3,2014 FQ4,2015 FQ1,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ4,2021 FQ1,2021 FQ4,2022 FQ1,2022 FQ4,2023 FQ1,2023 FQ4,2024 FQ1,2024 FQ4,2025 FQ1,2025 FQ4,2026 FQ1
Period Ended,2014-03-31 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-12-31 00:00:00,2025-03-31 00:00:00,2025-12-31 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute,Absolute
Spot Exchange Rate,9.638399176,10.08552578,10.192679781,10.083877732,10.315724892999999,10.199460916,10.268348233,9.988304620000001,9.781231097,9.41062844,9.817523185,9.80911983,10.373328231999999,10.561370816,10.119662096,10.323171822,9.884359261,10.221445088,10.632561423,11.18549153,11.165048988,11.728678021999999,11.970188804,11.999101084000001,11.954929249000001,11.738876588,11.539173187000001,11.724678385,11.775194653,12.846948988000001,13.594474005
Average Exchange Rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Costs,-15344661751.795126,-18146416274.41181,-17525934674.465107,-17912963679.759712,-16924185056.523268,-14022044551.7981,-17878337262.59394,-19300482871.58213,-16152475553.701063,-18687238088.443066,-18217967799.25053,-13951616774.015465,-18972001882.149284,-15402483212.410105,-11978654257.049479,-16069415488.749735,-14873052162.112286,-17932242215.878952,-14905880392.065577,-21205064948.10606,-20661688149.183666,-20776063886.43141,-21626909290.525394,-22100475611.753567,-21886225300.22374,-12692918385.163847,-20087679047.89805,-15452994830.440617,-17933013300.567966,-18772163839.584427,-15966564303.1343
Tax and Surcharges,-92074994.27827013,-118613636.67086962,-49151548.96254383,-93156563.1341955,-108238355.57491763,-99955065.4923795,-116638481.379369,-107357934.19817387,-296455409.77374303,-106874022.41074671,-177413711.14866123,-316557379.00582796,-236820162.40732983,-232500496.00276825,-367648524.2408012,-282837167.24232876,-177363500.05599344,-145485124.55797377,-190356867.8203448,-63846692.70180539,-270217499.6949938,-264704086.4775911,-363458776.0181837,-414429595.6914014,-284138135.59852666,-295471248.1133351,-310532713.37555057,-360900206.239411,-371223016.7009697,-427514696.6976333,-449001616.72382385
Selling Expenses,-2244482844.7285547,-4282415693.869584,-3104244163.067185,-2327981461.645676,-3748522818.5167394,-3280401604.7671523,-2675583549.961326,-3899901787.8565083,-3367027101.5363173,-3078505478.992374,-4045072635.990331,-5161210322.000942,-5366720948.215127,-6934294764.833404,-7356971298.386706,-6523724251.30569,-7819273527.998571,-6717931453.304515,-6553968525.664495,-7439502572.765904,-6241940977.100557,-7174249176.125987,-6434319341.035962,-8216394373.006909,-6555101585.9320345,-6622269948.614382,-5428153861.330655,-6398193034.479908,-5945659938.203259,-6020775041.306221,-7091509470.152828
General and Administrative Expenses,-2309441586.131815,-2369069406.9432917,-4487312335.193763,-2384854795.5458813,-2425142263.5627193,-3342181906.818814,-2286000970.0615215,-2550603801.481521,-2962100659.7060804,-1930904009.849873,-1582258500.537511,-1698666435.603199,-1493938575.4403532,-1730222609.860235,-2543307495.514446,-1774795772.3104646,-2357977383.9100604,-3505554522.9360895,-2047126089.2827108,-3004425478.831132,-2614717036.3724804,-3342703400.4359965,-2891150679.779116,-3840767847.6868634,-2658613350.2552032,-2646075124.2125225,-2454851345.1582565,-2693538931.509714,-2252279311.3294196,-3656268058.055768,-2512357801.0076704
Research and Development Expenses,,,,,,,,,,,-971348169.9320543,-1654239159.4832668,-902193409.7919194,-1126633499.7881887,-3437709047.930095,-917177353.4965807,-2439201107.125137,-4738563433.5175495,-798389071.4595737,-1547241713.7271695,-860750447.6999776,-1270805350.6717553,-996958845.0118451,-1707411016.8680801,-1160129453.9606347,-945844997.9281893,-1029104951.4906276,-1114486844.6348839,-1088372903.7614563,-1366728898.216292,-1827613863.3855631
Other Income,,,,,,,,,,64297898.32527565,82175524.38689312,205078553.78952157,258724095.89554438,91569084.03098805,262302110.06867507,89357651.43607825,185712558.5627988,482125018.776403,150494173.47053593,698416388.5459082,329438655.0225605,480244913.07662296,202420702.29750144,254268748.62587136,,370980330.14466834,417332381.04461277,307341580.38382286,,373080179.7320554,
Other Gains,,,,,,,,,,,,,,,,,,,,,,,,,279396620.6945475,,,,346278396.77626806,,284584737.1541943
Loss on Asset Impairments,-261173276.32627344,-84079917.24486737,-234750405.6210305,-58187149.22086636,-88772880.51680431,94619430.2749288,-313200095.3019202,99425532.80582832,-697123279.1574444,-163068371.84024885,,,,,,,,,,,,,,,,,,,,,
(Loss) on Impairment of Assets,,,,,,,,,,,,,,,,,,-14913317134.631203,,-842686853.8256516,,-1283485587.9530714,,,,,,,,,
Loss on Impairment of Assets (Loss By - Fill and List),,,,,,,,,,,34453225.815242864,-552531456.0127659,-192387934.34807864,187922136.5696708,-1430305001.386678,-26032816.962654162,-119715944.12542015,363556462.84208053,-105766405.93247244,544403990.8934022,-292378380.4118327,900034484.421592,-347414732.5189821,,,,-372425811.04853296,,,,
