Date,Open,High,Low,Adj_Close,Volume,Dividends,Stock Splits
2017-12-01,704.9967052786895,713.4165395809888,696.4023870575896,700.5905151367188,545992,0.0,0.0
2017-12-04,702.8590334099754,723.7122890272229,693.9156902514146,714.3763427734375,1650101,0.0,0.0
2017-12-05,711.1915786373942,720.2221920768396,703.6007002236043,711.0607299804688,1256222,0.0,0.0
2017-12-06,711.8023268160283,718.171760438699,692.6505049212996,698.1910400390625,207880,0.0,0.0
2017-12-07,698.8017787108743,706.7417390199184,693.174030064634,695.2244873046875,202226,0.0,0.0
2017-12-08,699.7615410403066,705.8691629096245,695.5297781597005,699.1943969726562,252127,0.0,0.0
2017-12-11,700.7214071920642,716.9939326755319,699.9797790984675,705.4330444335938,398362,0.0,0.0
2017-12-12,709.3593534220794,709.3593534220794,696.2715738756133,700.3287963867188,1026597,0.0,0.0
2017-12-13,702.4227464982283,705.8691891716935,694.351937718629,697.5802612304688,270255,0.0,0.0
2017-12-14,695.3989462613889,702.0737123591135,680.5661009807745,681.8312377929688,408051,0.0,0.0
2017-12-15,687.5462332706823,693.4793711803453,685.888436337952,690.99267578125,237341,0.0,0.0
2017-12-18,691.0363447589209,703.2952813402517,670.9683538027766,696.3587036132812,286559,0.0,0.0
2017-12-19,698.976279559337,701.4629178754332,691.2980741143757,693.566650390625,194685,0.0,0.0
2017-12-20,696.2715101083907,719.785944415069,693.6539087474553,710.3626708984375,740825,0.0,0.0
2017-12-21,714.5507887250207,729.4272696933864,711.1043459964269,722.7960815429688,613723,0.0,0.0
2017-12-22,727.6821634749934,738.1524539861866,723.6685768618588,729.9071044921875,556911,0.0,0.0
2017-12-26,732.8737951527439,737.2800426651353,726.5916312258703,731.7831420898438,394663,0.0,0.0
2017-12-27,728.5547594236473,746.8340484544758,721.2255782855646,727.4204711914062,1082763,0.0,0.0
2017-12-28,732.9173625227572,732.9173625227572,718.9570503021633,722.927001953125,483143,0.0,0.0
2017-12-29,722.9269528879594,727.594954101659,715.9467972514067,718.0408325195312,228745,0.0,0.0
2018-01-01,717.2120367362802,728.991101034513,713.7219584182668,716.6012573242188,219975,0.0,0.0
2018-01-02,718.8696968038287,721.530876016185,706.7416669672357,712.6748046875,200864,0.0,0.0
2018-01-03,711.9332580264014,717.9100316806946,707.7887653537356,714.1581420898438,303890,0.0,0.0
2018-01-04,714.1581402733748,722.7960934218578,713.7655371925583,717.255615234375,219344,0.0,0.0
2018-01-05,717.2992664460758,721.9236328050414,711.4533413324872,714.8998413085938,361671,0.0,0.0
2018-01-08,716.9502491649935,728.9910673528993,713.2856870903686,722.5343627929688,307661,0.0,0.0
2018-01-09,722.2725415036114,731.2595190546634,718.9570046858211,722.4470825195312,279574,0.0,0.0
2018-01-10,724.1921506624702,731.7394510054148,715.4669839391183,718.6516723632812,426632,0.0,0.0
2018-01-11,718.4334759805934,727.5949371797739,718.4334759805934,721.6181640625,158608,0.0,0.0
2018-01-12,723.3197157680434,725.0647263678668,712.1077956351738,718.4771728515625,254475,0.0,0.0
2018-01-15,722.4035346458356,723.9740612938416,709.2721202056481,711.453369140625,156905,0.0,0.0
2018-01-16,711.627861664955,716.0340516080041,698.8890511980853,704.0369262695312,243894,0.0,0.0
2018-01-17,707.4397154500543,707.4397154500543,691.385368406236,700.1105346679688,288592,0.0,0.0
2018-01-18,702.4227762153616,713.7219089848289,693.1304083547979,699.7615966796875,245715,0.0,0.0
2018-01-19,703.077147479592,705.7383841815287,692.781454077411,703.0335693359375,169013,0.0,0.0
2018-01-22,700.6776784395776,708.8357577232554,693.6538873325322,698.1910400390625,182621,0.0,0.0
2018-01-23,699.4562339241745,704.9094989765142,693.6975791751981,696.2715454101562,396051,0.0,0.0
2018-01-24,700.6341812171681,713.1984517788563,695.399035166506,700.28515625,474715,0.0,0.0
2018-01-25,700.8085780854569,709.0975059479467,685.0595637439393,688.1134033203125,355280,0.0,0.0
2018-01-29,693.6539083760897,722.7088779560265,691.821627404363,696.5332641601562,426405,0.0,0.0
2018-01-30,700.6342254281375,700.6342254281375,682.3112416517224,684.4053344726562,218068,0.0,0.0
2018-01-31,684.9287966708222,684.9287966708222,660.9344297495632,665.7333374023438,508207,0.0,0.0
2018-02-01,670.0959669684249,670.0959669684249,641.302748761004,651.4676513671875,530848,0.0,0.0
2018-02-02,647.4104088554981,660.4981881804184,618.6171915350875,620.5367431640625,683091,0.0,0.0
2018-02-05,617.7445636678069,617.7445636678069,591.9616120511134,598.8981323242188,596728,0.0,0.0
2018-02-06,578.4812989527417,594.5792839550232,560.1147372152101,585.766845703125,505869,0.0,0.0
2018-02-07,600.2941983877196,608.888515930237,592.0052705146501,604.7876586914062,570827,0.0,0.0
2018-02-08,612.5095787666725,630.003605782407,608.670475446245,621.2783813476562,399862,0.0,0.0
2018-02-09,609.019474108205,651.3803432417728,602.5191913233784,645.4472045898438,679934,0.0,0.0
2018-02-12,643.9203069536851,654.6523539533392,636.0676161044291,644.7056274414062,804002,0.0,0.0
2018-02-14,648.1956716427175,648.1956716427175,628.2149491513522,631.1815185546875,580761,0.0,0.0
2018-02-15,642.9605342339264,642.9605342339264,617.003037329585,625.6409912109375,369302,0.0,0.0
2018-02-16,626.469840482296,636.0675408772653,611.0262150681231,633.2755126953125,435784,0.0,0.0
2018-02-19,633.2755399401403,646.974098354999,627.3424012661952,639.8194580078125,571327,0.0,0.0
2018-02-20,639.5140321959535,645.4035352785779,626.4698320559736,630.7015380859375,309065,0.0,0.0
2018-02-21,636.9400644385904,636.9400644385904,604.83131250541,609.368408203125,544249,0.0,0.0
2018-02-22,614.254534519942,614.254534519942,591.0454898570438,594.361083984375,870140,0.0,0.0
2018-02-23,598.5492815560585,612.2042640379864,595.9317367507334,605.0932006835938,374220,0.0,0.0
2018-02-26,605.093102093819,623.8523224467416,605.093102093819,619.75146484375,273997,0.0,0.0
2018-02-27,621.4963908214537,627.1677742800159,611.5933016738936,614.5162353515625,292591,0.0,0.0
2018-02-28,615.9996340694067,628.869293937759,609.1939615495116,626.0336303710938,378198,0.0,0.0
2018-03-01,621.2347772491737,627.7786959034885,614.2546201969251,619.7078857421875,218691,0.0,0.0
2018-03-05,619.4897181040437,619.4897181040437,602.0392697236908,614.8217163085938,193923,0.0,0.0
2018-03-06,616.1304729778044,619.3152185645769,588.9514757015178,591.4381713867188,321931,0.0,0.0
2018-03-07,589.038797094011,593.2705036702159,575.8636894845667,581.927734375,193540,0.0,0.0
2018-03-08,584.6325222702638,589.5622785789757,568.88350608399,575.3837890625,201152,0.0,0.0
2018-03-09,575.86368678864,587.9917193985115,572.024640473233,576.8671264648438,240532,0.0,0.0
2018-03-12,586.3340068470642,586.3340068470642,570.7594732013921,582.80029296875,164820,0.0,0.0
2018-03-13,580.2262576608686,592.8777982783624,580.2262576608686,590.26025390625,251025,0.0,0.0
2018-03-14,597.6766697910258,606.7072258881543,591.5689904715807,603.697021484375,573428,0.0,0.0
2018-03-15,608.1468666781453,631.0505199438651,607.7978417660927,620.842041015625,744837,0.0,0.0
