,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jubilant Pharmova Limited | Balance Sheet (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSE: 530019 (MI KEY: 4813184; SPCIQ KEY: 4497477),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Iv.loans,,,,,,,,,,,,,,,,,,,,,,11,,8,,11,,
Inventories,,13606400,,13414.17,13937900,12249.72,12856300,12031.04,12296000,12203.99,12835600,13913.88,15544400,14173.94,16442900,18453.79,18105700,11293.81,11797900,12548.69,14096200,13805,13280,12896,11615,11292,12284,
Ioventories,,,,,,,,,,,,,,,,,,,,,,,,,,,,12315
Other Current Assets,,687500,,867.52,768500,1575.45,366100,2100.56,2383000,2203.8,3338200,3211.71,4178900,4136.86,4213200,4018.76,4454000,2134.41,2589000,2527.7,2909800,2646,2531,2050,2190,2206,2965,2490
Loans and Advances,,2125100,,2144.56,2704100,74.01,2394300,49.62,83000,72.4,62700,45.98,46700,36.79,40600,34.45,36200,11.56,14400,14,14800,,10,,12,,23,19
Other Financial Assets,,,,,,596.8,,532.97,312100,308.15,804100,882.71,1001100,1069.11,883100,942.27,1138500,936.91,827100,877.38,1277600,1291,1231,2474,2111,1605,1862,2189
Assets Classified as Held for Sale,,,,,,,,,,,,,,,,,,,,,,,,2439,,675,622,
Total Current Assets,,26123700,,29280.3,29026400,27223.67,27979700,28753.24,27570200,29481.21,29713200,31897.57,37295400,45847.99,46240300,50383.49,48622400,29525.01,32610000,35091.92,36203500,37624,36064,38761,35018,35772,34589,41093
Noncurrent Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right of Use Assets,,,,,,,,,,,,,,,1431900,2732.13,2643600,2894.89,2776800,2980.17,3083800,2944,2737,2770,2810,3212,3083,4322
Capital Work in Progress,,,,1108.44,,1981.77,,1469.16,1996700,2106.5,3351300,3000.9,4010100,4916.02,3288800,2636.19,2588100,2777.8,2529900,2918.26,4865300,7733,10946,12523,18574,27147,23437,29615
Tangible Fixed Assets,,39110300,,31207.3,38155700,29967.54,38408400,31147.02,30738400,31040.39,31603800,31925.2,33553600,33962.14,37138700,37506.5,37324100,20079.24,21570400,22012.56,22396500,22975,22500,21578,21275,21323,32415,35096
Investment in Associates,,,,,,,,,,,,,,,,,,1981.4,1897400,1951.07,2152900,2236,2335,,79,,74,8
Investments in Associates/financial Assets,,,,,,,,,,,,,,,,,,,,,,,,78,,75,,
Investments,,353000,,339.89,353700,1142.72,412100,854.31,834900,1027.14,967500,1235.22,1376600,1151.06,1157500,693.64,782900,428.2,474900,434.93,464400,328,330,344,342,360,373,606
Other Financial Assets,,,,,,6.07,,0.55,,9.86,9900,,6300,6.34,1300,75.16,186900,144.27,191100,180.42,180100,,,,,,,
Deferred Tax Asset-net,,,,,,920.68,,844.73,1914600,1418.98,1475900,1604.46,1493600,1495.47,1476500,2112.4,1999900,1547.12,1440200,1612.71,2186000,2275,2339,2327,2461,2574,2436,2571
"Income Tax Assets, Net",,,,,,589.83,,460.88,,257.28,91200,,212600,313.49,316700,291.01,161500,82.4,127000,114.27,175600,478,,,,,,
Long-term Loans and Advances,,3576100,,,,129.89,3600400,141.96,,119.27,174100,,153100,155.57,169600,177.79,319700,6.32,5800,5.5,5900,,,,,,,
"Income Tax Assets, Net",,,,,,589.83,,460.88,372600,257.28,91200,205.82,212600,313.49,316700,291.01,161500,82.4,127000,114.27,175600,478,302,211,311,257,234,280
Long-term Loans and Advances,,3576100,,3300.35,3568300,129.89,3600400,141.96,119400,119.27,174100,144.92,153100,155.57,169600,177.79,319700,6.32,5800,5.5,5900,,4,3,3,3,3,3
Ii.loans,,,,,,,,,,,91200,,,,,,,,,,,4,,,,,,
Goodwill,,19238600,,,,17324.68,17839200,18311.04,,17622.27,18843300,,20825800,19589.36,20152000,20894.61,20955600,21299.62,22011500,22427.54,23925600,24286,,,,,,
Ii.loans,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Goodwill,,19238600,,,18110400,17324.68,17839200,18311.04,18258900,17622.27,18843300,18876.98,20825800,19589.36,20152000,20894.61,20955600,21299.62,22011500,22427.54,23925600,24286,24515,24639,24800,25410,26487,28261
Intangible Assets,,,,19780.5,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,,,,,1913.57,,1586.14,2358800,2404.59,3068500,3203.35,3384600,2932.28,2679200,2266.49,2062400,1813.72,1588000,1285.84,1391400,1628,1496,1925,1803,1814,2120,1977
Intangible Assets Under Development,,,,3615.5,,3984.22,,4644.01,4337600,4731.33,4555700,3708.84,3848700,4098.24,4461200,5047.68,5649500,6192.14,6811400,7977.39,9031000,7882,8641,8508,8930,9153,9439,10789
Other Non-current Assets,,8400,,5.86,6000,179.25,5400,28.65,69900,187.65,177800,367.59,509300,217.09,412000,399.43,568100,408.97,786000,916.09,986500,990,1583,1620,2628,198,235,302
Other Financial Assets,,,,,,6.07,,0.55,300,9.86,9900,5.33,6300,6.34,1300,75.16,186900,144.27,191100,180.42,180100,,204,198,210,266,287,304
Iii.2 Other Financial Assets,,,,,6000,,,,,,177800,,,,,,,,,,,184,,,,,,
Total Assets,,88410100,,88638.14,89220500,85363.89,88245200,88241.69,88572300,90406.47,94032200,96176.18,106669700,114685.05,118925700,125216.52,123864700,89181.1,94820400,99908.67,107048500,111567,113996,115485,119244,127564,135212,155227
Total Outstanding Dues of Creditors Other Than Micro Enterprises,,,,,89220500,,,,,,94032200,,,,,,,,,,,,,,,,,
Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous Expenditure,,10033900,,,,7293.84,6965600,6121.15,,7494.9,,,11043300,,,,,,,,,,,,,,,
Other Non-current Assets,,,,,,,,,,,,,,105.78,171900,,192800,22.4,79600,62.86,129500,,,,,,,
Foreign Currency Monetary Items Translation Difference Account (fcmitda),,,,,,,,,,,,,,10095.49,10325300,,10692300,5182.44,5007100,5614.54,6271300,,,,,,,
Iii.2 Other Financial Assets,,,,,,,,,,,,,,,,,445100,501.34,480200,521.93,544600,,,,,,,
Total Assets,,,,,,104.98,,1203.02,,704.55,,,517200,,,,,,,,,,,,,,,
Trade Payables,,10033900,,7181.37,6985800,7293.84,6965600,6121.15,7451000,7494.9,8341100,,11043300,,,,,,,,,,,,,,,
Total Outstanding Dues of Micro\ Enterprises and Small Enterprises,,2234800,,,,294.8,746200,316.28,,357.89,,36.62,440800,105.78,171900,120.51,192800,22.4,79600,62.86,129500,176,131,138,100,343,176,230
Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,,,,,,,,11324.99,,10095.49,10325300,10782.18,10692300,5182.44,5007100,5614.54,6271300,,,8425,,9705,,12111
Total Outstanding Dues of Creditors Other Than Micro Enterprises,,,,,,7047.28,,8726.36,,4843.5,,,6727100,3954.01,5739100,,,,,,,8037,,,,,,
Borrowings,,9953700,,,,5618.73,4309800,7489.67,,2556,4097800,,3212300,4997.13,3052500,6498.9,3347000,200.01,910000,4633.74,2229000,2997,,,,,,
Total Outstanding Dues of Creditors Other Than Micro Enterprises,,,,,,,,,,,,,,,10325300,,10692300,,5007100,,6271300,8037,9107,,8158,,9832,
Borrowings,,9953700,,11878.29,7908500,5618.73,4309800,7489.67,7451700,2556,4097800,2448.52,3212300,4997.13,3052500,6498.9,3347000,200.01,910000,4633.74,2229000,2997,2502,2470,2831,2866,2799,2478
Lease Liabilities,,,,,,,,,,,,,,,,440.48,445100,501.34,480200,521.93,544600,,508,,523,,576,670
Ii Lease Liabilities,,,,,,,,,,,,,,,,,,,,,,534,,,,,,
"Current Tax Liabilities, Net",,,,,,104.98,,1203.02,,704.55,446900,,517200,275.75,336800,1058.74,394800,468.11,802300,345.06,427300,624,,,,,,
Ii Lease Liabilities,,,,,,,,,,,,,,,,,,,,,,534,,521,,556,,
Other Current Liabilities,,14824000,,,,691.07,14136200,787.93,,883.53,788800,,804600,781.74,1014800,992.79,1509900,1009.47,1455000,1518.64,1527900,1218,,,,,,
"Current Tax Liabilities, Net",,,,,,104.98,,1203.02,554600,704.55,446900,761.09,517200,275.75,336800,1058.74,394800,468.11,802300,345.06,427300,624,111,370,77,184,213,201
Other Current Liabilities,,14824000,,17312.01,9202700,691.07,14136200,787.93,739700,883.53,788800,841.18,804600,781.74,1014800,992.79,1509900,1009.47,1455000,1518.64,1527900,1218,1167,1632,1692,2021,3189,3403
Provisions,,2234800,,2572.48,2869300,294.8,746200,316.28,318200,357.89,363700,417.04,440800,687.39,728200,987.67,984200,898.06,904400,868.39,970800,783,734,664,654,784,802,943
Other Financial Liabilities,,,,,,7047.28,,8726.36,5326400,4843.5,5976000,4217.5,6727100,3954.01,5739100,5308.86,5558000,2206.5,1961100,2350.85,2804700,,3642,4670,5433,5187,3295,5353
Iv.other Financial Liabilities,,,,,,,,,,,,,,,,,,,,,,3355,,,,,,
Unsecured Loans,,,,,2869300,,,,,,363700,,,,,,,,,,,,,,,,,
Secured Loan,,,,,,,,,,,5976000,,,,,,,,,,,,,,,,,
Total Current Liabilities,,37046400,,38944.15,26966300,21050.7,26157800,24644.41,21841600,16840.37,20014300,20046.94,22745300,20897.29,21368600,26190.13,23124100,10488.33,11599700,15916.01,14905100,17724,17902,18890,19468,21646,20882,25389
Lease Liabilities,,,,,26966300,,,,,,20014300,,,,,,,,,,,,,,,,,
Noncurrent Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liabilities,,,,,,,,,,,,,,,,,1310100,1954.56,1911100,2121.93,2230500,,,,,,,
Other Financial Liabilities,,2907700,,,,1181.32,2600500,1990.26,,1863.95,,,2012300,2023.54,2145900,,2775600,2473.02,2734100,3029.65,3059600,,,,,,,
Total Current Liabilities,,1434900,,,,-329.92,,-381.33,,-473.88,,,-543000,0.99,,,3800,0.31,-1800,-21.63,-42100,,,,,,,
Unsecured Loans,,9400,,,,89.92,607400,125.89,,97.17,,,75300,97.15,96200,,403800,270.21,277700,72.96,1150500,,,,,,,
Borrowings,,18317200,,17168.83,30368200,36615.43,31054300,30132.08,29592000,35050.33,31847900,30478.08,35281400,42428.9,41825300,37396.86,34889200,25639.72,26213300,24642.42,29961600,31104,31696,31671,25419,21503,23188,29717
Secured Loan,,,,,,831.25,,1364.75,,1861.19,,,1300,4.54,3500,,,,,,,,,,,,,
Lease Liabilities,,,,,,,,,,,,,,,,1361.25,1310100,1954.56,1911100,2121.93,2230500,,1973,,2031,,2265,3282
Ii Lease Liabilities,,,,,,,,,,,,,,,,,,,,,,2133,,,,,,
Deferred Tax Liabilities,,2907700,,,,1181.32,2600500,1990.26,,1863.95,1680300,,2012300,2023.54,2145900,2634.2,2775600,2473.02,2734100,3029.65,3059600,,,,,,,
Ii Lease Liabilities,,,,,,,,,,,,,,,,,,,,,,2133,,1978,,2385,,
Deferred Tax Liabilities,,,,2370.65,,1181.32,,1990.26,,1863.95,,1630.63,,2023.54,,2634.2,,2473.02,,3029.65,,,,2108,,1722,,2507
Deferred Tax Liabilities Net,,2907700,,,2136100,,2600500,,1730800,,1680300,,2012300,,2145900,,2775600,,2734100,,3059600,3062,3214,,2187,,2142,
Minority Interest,,1434900,,,,-329.92,,-381.33,,-473.88,-455300,,-543000,0.99,,,3800,0.31,-1800,-21.63,-42100,-75,,,,,,
Other Long-term Liabilities,,9400,,,,89.92,607400,125.89,,97.17,95600,,75300,97.15,96200,82.9,403800,270.21,277700,72.96,1150500,,,,,,,
Minority Interest,,1434900,,1579.35,1741300,-329.92,,-381.33,-368400,-473.88,-455300,-515.22,-543000,0.99,,,3800,0.31,-1800,-21.63,-42100,-75,-87,-128,-135,-163,-198,28
Other Long-term Liabilities,,,,114.72,,89.92,,125.89,,97.17,,77.59,,97.15,,82.9,,270.21,,72.96,,,,5438,,11375,,13720
Provisions,,3808200,,2195.3,2082800,668.9,733800,703.07,744800,806.91,969900,1070.78,1106400,1143.47,1183200,1507.51,1567500,940.09,1001300,956.66,1021100,922,933,1001,1022,1191,1333,1595
Other Non-current Liabilities,,9400,,,265900,,607400,,136800,,95600,,75300,,96200,,403800,,277700,,1150500,2685,4018,,8520,,12562,
Other Financial Liabilities,,,,,,831.25,,1364.75,895000,1861.19,2115100,2522.08,1300,4.54,3500,4.85,,,,5.04,7000,,246,188,1327,5356,7123,8061
Iii)other Financial Liabilities,,,,,,,,,,,,,,,,,,,,,,19,,,,,,
Shareholders' Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loan from Customer,159300,154500,,,,154.47,159300,155.4,,155.75,,,155800,159.29,159300,,159300,159.19,159200,159.19,159200,,,,,,,
Lease Liabilities,,,,,,25101.82,,29507.16,,34204.68,,,45834900,47929.88,52143700,,59631300,47255.67,50925800,53026.44,54596000,,,,,,,
Common Stock - Par Value,159300,154500,159300,,,154.47,159300,155.4,,155.75,155700,,155800,159.29,159300,159.3,159300,159.19,159200,159.19,159200,159,,,,,,
Reserves & Surplus,,24731800,,,,,26932100,,,,,,,,,,,,,,,,,,,,,
Common Stock - Par Value,159300,154500,159300,154.46,154500,154.47,159300,155.4,155500,155.75,155700,155.79,155800,159.29,159300,159.3,159300,159.19,159200,159.19,159200,159,158,158,158,158,158,158
Reserves & Surplus,,24731800,,26110.68,25505400,,26932100,,,,,,,,,,,,,,,,,,,,,
Other Equity,,,,,,25101.82,,29507.16,33844200,34204.68,37608700,40709.51,45834900,47929.88,52143700,55879.52,59631300,47255.67,50925800,53026.44,54596000,53834,53943,54181,59247,62391,65757,70770
Deferred Tax Liabilities,,88410100,,,,85363.89,88245200,88241.69,,90406.47,,,106669700,114685.05,118925700,,123864700,89181.1,94820400,99908.67,107048500,,,,,,,
Total Shareholders Equity,159300,24886300,159300,26265.14,25659900,25256.29,27091400,29662.56,33999700,34360.43,37764400,40865.3,45990700,48089.17,52303000,56038.82,59790600,47414.86,51085000,53185.63,54755200,53993,54101,54339,59405,62549,65915,70928
Total Liabilities & Shareholders Equity,,88410100,,88638.14,89220500,85363.89,88245200,88241.69,88572300,90406.47,94032200,96176.18,106669700,114685.05,118925700,125216.52,123864700,89181.1,94820400,99908.67,107048500,111567,113996,115485,119244,127564,135212,155227
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
