Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost of Goods Sold,-207728.170858516,-214563.296597264,-223777.674007168,-215703.062397907,-172330.11763501202,-191555.32163683997,-203885.88806467,-206049.74205864,-184698.96361226603,-189256.521738819,-207860.664305592,-211925.1979304,-192957.73631386,-212786.93667894002,-220238.38198823397,-236738.02233319898,-204035.81988403003,-217320.73270400002,-255555.29220271198,-250062.743300958,-203578.14814829803,-241443.414675764,-276105.713500488,-237070.24945045504,-274221.643025224,-307198.82372973,-230471.488732848,-251884.54707274,-278447.760200785,-294454.57750407496,-242793.40591008,-268462.70646,-305692.61266982404,-330262.463184006,-274717.452412055,-292786.39912539604,-337765.701523306,-333895.276667216,-266881.997412149,-267683.832209007,-342287.86248102604,-316836.783930936,-266813.139104244,-301461.708748092,-355621.434705352,-396268.363510128,-339259.028537688
Selling & General Expenses,-171565.635550078,-185521.562050165,-180412.93620200802,-175072.226593264,-151107.8584095,-170428.93901367998,-164367.44601337,-178504.523486752,-166961.22088693603,-179804.947525941,-170272.028325258,-186617.48654019999,-171964.488880072,-189635.48202988002,-179016.056021982,-206848.79322670898,-185355.919674608,-200302.6017974,-194700.76681670998,-217549.80535743,-184760.00000013603,-178039.480317706,-218600.32914400802,-193793.55120871402,-188397.86683911798,-232431.32868414,-188395.844366568,-205967.17512561003,-194801.67478079,-233699.48913848598,-200557.46967363902,-212622.46351632001,-210976.57736857602,-256055.12343805502,-232604.22164281498,-230699.19759727502,-226789.311176414,-226890.53520566397,-189756.785630531,-195783.436837552,-208568.525541264,-234615.157675928,-205212.459359512,-230049.63006369598,-238783.325589086,-289710.576730248,-251579.273233652
Research and Development Expenses,-94039.10437513901,-97738.188787404,-89542.32346795201,-99778.926345112,-77837.336842938,-88333.80116932,-96088.360024735,-98098.376323904,-93217.49900333001,-95940.979510087,-91425.74607965701,-103023.1763958,-90693.600299764,-100126.35481982002,,-112199.567722824,-102619.19428352002,-117848.559095,-123141.91355810099,-133717.426150098,-107698.90572398501,-104774.42372656001,-134658.44170142402,-110881.02417578001,-114057.55366382899,-135421.17382212,-108795.594718524,-123033.87953588001,-124136.63653286001,-134305.18139394498,-125527.56298614902,-136957.28224944,-138523.199058944,-161239.547505207,-139455.465449835,-146034.83187711,-146239.094411158,-166993.64209175998,-150115.50544907,-148713.240116115,-168387.313183404,-199972.209544777,-166977.55469036798,-192278.78449719597,-191151.732488164,-241706.821299708,-188873.652917572
Research and Development Expenses ,,,,,,,,,,,,,,,-103518.98711749799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,-2889.7003100350003,-4278.1025395159995,-625.0773016960001,-5050.160382498,-6783.063866382001,-4608.103592299999,-12806.902516625001,-8702.275319056,-9359.489778472001,-5325.887056463,-11456.297420301,-9606.8932756,-1801.400769896,-3317.8836280500004,-2933.4239451639996,-9503.242074884,-4489.589749904,-8708.808773800001,-12811.479028631999,-18408.060453321003,-12908.316498326001,-18566.644204486,-39854.426102616,-29375.196703285004,-36608.934711176,-26530.401467789998,-31599.667605696,-30053.40467173,-47110.02549862,-46434.85135891599,-55218.639191355,-45349.54641432,-64074.959011712,-46346.419579116,-66024.9804433,-61101.690392754004,-86705.801015876,-96423.877086592,-87732.175639696,-89406.578592331,-108022.049966712,-110662.512060889,-106946.90726296799,-132751.931884392,-166762.6891936,-166588.856757852,-159142.53983667202
Other Operating Income,825.62866001,8720.747484398,3672.3291474640005,12242.81304848,2283.4076381880004,2835.7560568,2561.380503325,10428.34645672,16379.107112326003,3600.599700144,2545.843871178,4014.8210704,4157.07869976,8331.574443770001,4168.549816811999,766.3904899099999,2004.2811383500002,23809.403803600002,6574.311606798,6614.151591453,4976.700336704001,9398.882128412,34263.624845736,8936.679560436001,20894.722170057998,15543.063486179999,22926.932746524,12603.040668790001,22179.53755227,16269.145001663997,32878.27371699,2147.70165168,96471.513630336,30425.893769496,38901.20469362,16216.137772857,34119.524132008,18769.533326015997,34068.129679759004,16434.376084904,15231.482824026001,32162.123201043,30569.452766876,20345.895478487997,30955.324181562,42306.606434388,30487.905050232002
"Other Gain/loss, and Litigation",,,,,,,,,,,,15127.2722474,,-516.1152310300001,-11347.718945765999,-4674.981988451,-3928.391031166,-1438.1519076,48548.762634816,-557.8200137370001,,-4391.280994422001,5351.195488728,9929.643956040001,,,,,-343.86879926,-84.73513021699999,-1517.4587869380002,-10242.88480032,398.97234752,-20608.236186897,-7851.61929596,1343.878820955,1934.612193052,1196.0977119519998,-7281.051461901,-32958.069431138996,-1401.67019853,-443.004451805,-3417.129161252,-2014.4450968799997,,-20889.546319224,-11027.540124552
Amortization of Intangible Assets,-55895.060282677005,-51337.230474192,-43833.545781432,-39253.519336689,-33512.365042818004,-34667.11779438,-33224.764243130005,-49984.14336152,-33513.011787432006,-32480.409795049,-30175.737649551,-29537.6121608,-34850.176432987995,-35906.87393023,-33502.789268452,-33874.459654022,-36718.430454572,-43224.454556200006,-45261.606831417,-50522.555529894,-43312.845117877005,-40060.809071920004,-40732.98058584,-37815.394065919005,-34882.098168196,-35195.21272158,-33402.909507108,-34019.39649058,-33097.371928775,-35588.75469114,-37852.166407509,-38080.40236248,-54739.006079744,-40420.446083313,-43630.020860505,-48917.189082762,-49420.547840692,-45635.728086783995,-43506.529722964,-36977.346191034,-37471.316640702,-39870.400662449996,-36849.582036203996,-38073.012331032,-48048.499823906,-56760.484443144,-57840.529084660004
Impairment of Intangible Assets,-247.688598003,-5841.255390493,-2734.71319492,10329.873509655,-1813.2943009140001,-70.89390141999999,-15075.553819570001,-38333.163182288,,-3900.649675156,-1572.4329792570002,-8531.4947746,,-884.7689674800001,-1466.7119725819998,-20079.430835642,-240.51373660200002,-7829.938163600001,-16098.634832030999,-33947.332264566,-388.80471380500006,-14098.323192618001,-126272.239816104,-7033.497802195001,-172.683654298,-446.63975535,-171.737323944,-15511.43466928,85.967199815,-1271.0269532549999,-421.51632970500003,-6773.52059376,-126554.028633344,188127.546650343,-1338.344198175,,-351.747671464,-80690.59179860799,1528.1219117570001,31618.310511174,-16820.04238236,-38895.790868479,-2308.8710548999998,-18633.617146139997,-1876.080253428,-212377.054245444,
Restructuring Costs and Similar Items,,,,,,-1914.1353383399999,-4098.2088053200005,-25819.147434224,-37739.87813900001,-9526.586706631,-4717.298937771,-13550.0211126,-8244.872754524,-18064.033086050003,-19221.646377522,-9043.407780938,-15312.707896994001,-33237.2885312,-9102.892994028,-60961.758644115005,-24961.262626281004,-12095.282739022,-12619.237122672,-5461.304175822001,-9497.60098639,-19116.18152898,-13395.511267632,-16480.89933611,-15044.259967625,-27623.652450741996,-14753.071539675002,-50966.61227256,-29843.131594496,-15036.05215353,-21413.5071708,-27504.719868879,-22775.661727294002,-46555.803249824,-55192.167871694,-39835.498553626,-13456.033905888,-17011.370949312,-9697.25843058,-32734.732824299997,-17926.989088312,-56549.478924768,-12865.463478644
Net Financial Income/expense,8751.663796106,4195.831336833,1172.0199406800002,1530.35163106,2417.725734552,1488.7719298199997,1610.01060209,7120.043442864,905.7570753360001,2850.474762614,1272.921935589,71.6932334,3325.662959808,3465.3451226300003,2007.0795414279999,1992.615273766,7776.610816798001,,2022.8651097839997,3426.608655813,4043.5690235720003,2234.1605059340004,1437.634608912,1903.1817582410001,1295.127407235,625.2956574899999,1202.161267608,1233.8641214200002,171.93439963,847.3513021699999,843.0326594100001,1982.49383232,4149.3124142080005,10613.683873080001,14364.894393745,11198.990174625002,12574.979254838001,14445.180059727998,13213.760060487,11611.24397303,12241.253067162,9834.698830071,7942.516428855999,9870.780974711999,11881.841605044,10128.264882047999,6486.788308560001
Financial Expenses,-12136.741302147,-11929.324389035,-12032.738057648,-12013.260303821,-8797.835311842,-9287.101086019999,-9147.787511875,-12370.176486592,-9736.888559862002,-8401.399300336001,-19543.095599337,-30254.5444948,-7690.595594556,-7889.189960030001,-7951.122798734,-7587.265850109,-7616.2683257300005,-8549.0141174,-10957.186011329999,-8207.923059273,-8242.659932666002,-8397.361901614,-7268.041633944001,-8109.209230766001,-7857.106270558999,-8932.795107,-8415.128873256,-7843.85048617,-7479.146383905,-7880.367110181,-7418.687402808,-8342.99487768,-8218.830358912,-13090.210110132,-14989.45501956,-18097.568122194003,-27963.939881388,-56676.630043264,-22202.712482587,-30010.599807216,-23828.39337501,-20821.209234834998,-19671.581387748,-14906.893716911998,-23659.456529342,2637.5689797,-19244.138648728
Ciq Balancing Calc.-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,-88.13315153,,,,,,,,,,,,,,,,,,,
Fair Value Remeasurement of Contingent Consideration Liabilities,-660.502928008,-10201.629132692,-3516.05982204,-9641.215275678,67.159048182,4962.5730994,6586.40700855,-7767.320119488,-2188.9129320620004,-2850.474762614,-2021.699544759,-2939.4225693999997,-2494.247219856,-4718.767826560001,-5712.457156372,1149.585734865,-4489.589749904,5273.223661200001,9018.606947786999,,4665.6565656600005,4006.0809071920003,-319.474357536,992.9643956040002,1899.5201972779998,4287.74165136,-3091.271830992,2820.26084896,429.835999075,-423.67565108499997,337.213063764,-1734.68210328,2553.423024128,1061.368387308,-1338.344198175,-985.5111353670001,-263.810753598,-5888.4810434559995,1707.900960199,-7591.967213135,-747.557439216,-1949.2195879419999,-831.1935797639999,-5237.557251888,-5836.6941217759995,1371.535869444,3783.95984666
Restructuring Costs,-4210.706166051,-6910.781025372,-12735.950022056002,-8340.416389277,-23707.144008246003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings before Taxes,114514.695143387,94776.425490816,128531.52016124001,121280.36676150499,80926.65305931,129594.05179575998,135167.708275465,26106.825957168,78272.50726028602,102167.01649158601,160762.552688799,81156.7402088,113557.533148444,97177.12492822002,146594.001891222,51731.358068924994,96446.008377402,68232.3182828,219818.00859652797,-20719.029081660003,105366.07744115501,158086.11579919202,-15334.769161728,163094.40197795702,211364.792860752,124880.47559586,169418.870070756,128938.80068839001,253345.337854805,117866.566131847,195499.27371717902,111928.2976164,213290.61698419202,360423.014856675,219131.55671452,159652.803929454,266976.48264117603,-6900.5637228,102114.499515056,118434.688524906,319113.58186533,72741.330986381,199301.74945896797,143327.76864301198,365835.64941846,-96746.030175396,216550.616367428
Taxes and Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,-22622.225284274,-28794.92093905,-29769.306493272004,-13926.199842646,-12357.264865488001,-36014.101921359994,-19978.767925935,17476.470268848,-8831.131484526,-28504.74762614,-34443.770021820004,-26454.8031246,-23279.640718656,-20349.686252040003,-31727.295827957998,-53570.69524470899,-14992.022914858002,-8788.706102,-35990.141744907,19364.323334013003,-19829.040404055002,-20646.724675528003,11341.339692528001,-35912.212307678004,-42307.49530301,-29120.91204882,-34690.939436688,-24148.48351922,-52096.12308789,-22709.014898155998,-27988.684292412003,-13464.43727784,-47956.476171904,-80487.10270419001,-40953.332464155,-24279.410698587002,-49508.484758558,8280.67646736,-9348.510518984,-24562.246866024998,-63916.161052968004,-12492.725540901,-44422.679096276,-23166.118614119998,-70874.14290728,36714.960197424,-45407.51815992
Share of Profit/loss of Associate and Joint Ventures,412.814330005,164.542405366,-3359.7904966160004,-1224.281304848,-2081.9304936420003,-2481.2865497,5269.12560684,-2013.749660608,7019.617333854001,375.062468765,449.26656550200005,2150.797002,,1990.7301768300003,2856.228578186,1609.4200288109998,2405.13736602,3595.379769,10367.183687642999,23986.260590691003,3654.7643097670007,7010.641587586,3833.692290432,13074.031208786002,86.341827149,357.31180428,772.817957748,1498.2635760100002,-429.835999075,1525.2323439059999,2529.09797823,2312.90947104,558.561286528,265.342096827,1070.67535854,-5733.8829694080005,5715.89966129,-12329.007184736,-3865.2495415030003,1875.662487951,6821.461632846001,797.408013249,3878.9033722319996,4331.056958292,-208.453361492,-25109.656686744,1189.244523236
Minority Interest (After Tax),-2807.137444034,-2221.322472441,-2422.174544072,-2065.974701931,-2149.089541824,-1914.1353383399999,-1683.192902185,-1366.472983984,-1962.4736632280003,-1125.187406295,-2171.455066593,-1505.5579014,-2355.677929864,-2211.9224187000004,-2084.2749084059997,-2299.17146973,-2324.9661204860004,-2237.1251896000003,-2191.437202266,-1673.460041211,-777.6094276100001,-693.360157014,-559.0801256880001,-992.9643956040002,-604.392790043,-803.95155963,-1030.423943664,-705.06521224,-2235.14719519,-847.3513021699999,-674.426127528,-3717.1759356000002,-239.38340851200002,-5041.499839713,-1249.12125163,-1075.103056764,-1143.179932258,276.022548912,-1168.563814873,-357.269045324,-2709.895717158,-1063.210684332,-1939.4516861159998,-402.88901937599996,-625.360084476,-738.519314316,-648.678830856
Earnings of Discontinued Operations,,,,-1606.869212613,4365.338131830001,3119.3316624799995,365.911500475,-16181.9169156,7547.975627800001,13952.323838058,748.77760917,1290.4782012,306723.123397292,-442.38448374000006,4863.308119614,12185.608789569,-80.17124553400001,79.8973282,-337.144184964,-717.197160519,,-7704.001744600001,-79.868589384,,,,,,,,,,,,,,,-40391.299657455995,14112.655302697,4019.276759895,3737.7871960800003,-15770.958484257999,16069.742542103999,272655.14386270795,-2084.53361492,1371.535869444,2810.941600376
Net Income (Loss),89498.146745084,63924.724484690996,92980.24862728002,102457.041699467,68703.706290186,92303.85964883999,119140.78455466,24021.156665824,82046.49507418601,86864.467765974,125345.37177505801,56637.654385999995,394645.33789721597,76163.86195057,120501.967852658,9656.520172866,81453.985462544,60881.76408840001,191666.469152034,20240.897641314,88414.191919257,136052.670809636,-798.6858938400001,139263.256483461,168539.246594848,95312.92379169,134470.324648152,105583.51553294,198584.23157265,95835.432275427,169365.261275469,97059.593874,165653.318690304,275159.754409599,177999.778357275,128564.40720469502,222040.71761165,-51064.17154872,101844.830942393,99410.111861403,263046.77392413,44211.844290139,172888.26459091197,396744.96183051594,292043.159450292,-84507.710109588,174494.605500264
Supplementary Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit/loss,446582.54219940904,455617.920458454,469120.51492284803,446327.053198649,379717.25842102803,429617.04260519997,459218.933096125,428137.561771408,413704.54415971803,433947.27636110503,488128.123417923,446003.60498139996,423814.173440532,446439.67484095006,505089.286137054,451633.91570396296,447435.72132525407,460288.5077602,565727.9423695919,493112.892143508,473952.94612829504,522870.59840600204,523937.94635904004,533801.109670117,578749.267379747,562498.10788779,532557.441550344,545279.8085161101,652491.04659585,588061.80370598,604707.326594793,618868.49132256,742647.127673728,682990.557232698,694511.41590628,664234.505237358,778857.281539162,684443.913785456,607383.515161297,640047.494697946,870343.748607228,694985.383991684,712702.3172265319,779791.6970022479,1017043.950719468,891392.812379412,876365.1004864561
Operating Income (Loss),117899.772649428,102509.918543018,139392.238278208,131763.275434266,87306.7626366,137392.38095196,142705.48518525,31356.959000896,87103.63874481201,107717.941029308,179032.726352547,111339.5914702,117922.46578319199,101600.96976562002,152538.04514852798,57326.008645268,96285.66588633401,76781.3324002,228752.329498074,-15937.714678200002,109565.16835024902,164249.317194872,-9504.362136696,169300.429450482,217926.77172407598,133187.97504537,176631.837676404,135636.92020467002,260652.54983908,124899.58193985799,202074.928460577,118288.79866176,217360.134928896,362899.541093727,219756.117340335,166551.381877023,282365.443267726,35330.886260736,111103.451937156,,330700.722173178,83727.841391145,211030.81441785998,,377613.264342758,-109511.864037144,229307.966707596
Basic EPS - Continuing Operations,67.70155012082,48.540009582969994,71.10254306792001,78.81310899959,49.02610517286001,68.05814536319998,90.7460521178,30.92544121648,58.11941233406001,57.009495252280004,96.59231158293001,43.01594004,69.97749144596,61.196520250700004,91.86248670382,-2.2991714697299996,64.93870888254001,48.737370202,154.24346462103,16.73460041211,70.76245791251002,,,111.70849450545002,133.82983208095,75.92875840949999,107.335827465,84.6078254688,158.17964765960002,76.26161719529999,135.72825816501003,77.6476750992,132.45881937664,219.34946671032,142.756714472,103.03070960655,176.75320491065997,-8.28067646736,70.11382889238,75.91967213135,207.44718938244003,47.844480794940004,128.37323065244,102.73669994087999,241.80589933072,-70.68684865596,142.70934278832001
Basic EPS - Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-32.202630706399994,11.68563814873,3.57269045324,2.80334039706,-12.40412465054,12.006129485479999,223.60340575368,-2.08453361492,1.05502759188,2.1622627695200003
Basic Earnings Per Share – Total,,,,78.04793318406,52.38405758196001,70.89390141999999,91.47787511875,18.69910399136,63.402995273520006,67.51124437770001,97.34108919210001,44.449804707999995,312.47374893195996,60.459212777800005,95.72225505271999,7.6639048991,64.93870888254001,48.737370202,153.40060415861998,15.937714678200003,,108.62642459886,-0.7986858938400001,,,,,,,,,,,,,,,-40.48330717376,81.79946704111,79.49236258459,210.2505297795,35.4403561444,140.37936013792,326.34010569456,239.72136571579998,-69.63182106408,144.87160555784
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
