S&P Capital IQ - Standard,2014 FQ2,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Period Ended,2013-09-30 00:00:00,2014-03-31 00:00:00,2014-09-30 00:00:00,2015-04-01 00:00:00,2015-09-30 00:00:00,2016-03-31 00:00:00,2016-09-30 00:00:00,2017-03-31 00:00:00,2017-09-30 00:00:00,2018-03-31 00:00:00,2018-09-30 00:00:00,2019-03-31 00:00:00,2019-09-30 00:00:00,2020-03-31 00:00:00,2020-09-30 00:00:00,2021-03-31 00:00:00,2021-09-30 00:00:00,2022-03-31 00:00:00,2022-09-30 00:00:00,2023-03-31 00:00:00,2023-09-30 00:00:00,2024-03-31 00:00:00,2024-09-30 00:00:00,2025-03-31 00:00:00,2025-09-30 00:00:00,2026-03-31 00:00:00
Currency,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR,INR
Units,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Thousands,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions,Millions
Loans and Advances,,7890.4,3863200,,,54.5,53900,,58300,54.4,68400,64.6,,58.4,66700,72.6,62100,63.2,,55.7,,,,,,
Goodwill,,,968900,,,4063,4334300,,10891100,8165.5,8325600,8325.1,,9159.4,9333600,4289,4298000,4754.2,,5960.7,,,,,,
Intangible Assets,,2096.5,,,,,,,,,,,,,,,,,,,,,,,,
Other Intangible Assets,,,,3222.7,,3930,3820100,3444.3,6101400,9675.7,9819100,19486.9,18420300,19857.2,19139100,20580.6,24814900,23282.3,23598.1,24322.4,22142.8,23521.3,21768.7,19867.4,19678,22765
Intangible Assets Under Development,,149.4,,124.5,,122.4,,2207.2,950300,1835,2481300,3265.2,3470400,3641.2,3205400,6326.4,8090300,8096.4,8558.4,8936.1,10269.8,11293.3,12017,16339.6,18553.7,22047.3
Other Non-current Assets,32900,184,184900,1282.7,495900,1650.2,873400,1989.2,1441300,1739.8,1326200,1679.2,2350600,2075.5,3283000,4326.5,5846200,1586.4,3509.7,4169.3,9529,2299.6,2607.6,2938.5,4698.5,3758.9
Other Financial Assets,,,,386,,535.5,664600,751.7,772600,868.3,891400,908.6,1234000,1170.3,1545200,1433,1366500,1289.2,1348.6,1503.7,2771.7,3510,5122.9,5377.1,5524.9,5499
Non Current Tax Assets Net,270200,,,439.4,1400,447.8,442400,579.8,579900,825.9,1413000,1688.3,1739100,845.3,,1282.6,1364700,3189.7,3217.5,2885.2,2893.7,3832.9,4840.4,4370.8,3798.1,4524.3
Trade Payables,,,,2305.2,50900,,,1677.6,,,,,1691400,,,,,,3679.8,,9829,,,,,
Trade Payables - Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,,,,,,,,,8500,,,,,,,,,,,,,
