,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cipla Limited | Balance Sheet (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSEI: CIPLA (MI KEY: 4812354; SPCIQ KEY: 882504),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Inventories,,27164300,,28952600,29686900,37806200,41063100,38080500,34868700,34852800,36224400,40447000,41595300,39648300,44863400,43776000,49502800,46691800,55499600,53502400,54409900,51564300,54701200,52379500,55728600,56421100,,65967200
Current Assets : (a) Inventories,,,,,,,,,,,,,,,,,,,,,,,,,,,61601200,
Other Current Assets,,37200,,351400,716100,7593800,2045200,10753400,10920500,6740100,10871600,10044000,10416900,10603300,10878500,8866200,9640600,8943300,10436600,9107400,9719100,8489900,9732500,9001000,10372000,10548800,12353800,14589000
Other Financial Assets,,,,,,1238200,,1369100,,5421000,2862300,5748200,4546000,4978700,5392700,5222800,4789700,4832400,7020700,8983900,13167000,20805700,22839600,28015200,34678200,29369000,22669100,14602300
Assets Classified as Held for Sale,,,,,,,,,,690600,,,,20000,20000,,295100,284800,165800,,169100,,,,391900,395500,,11700
Assets of Disposal Group Classified as Held for Sale,,,,,,,,,,,,,,,,,,,,,,4698900,,489600,,,,
Total Current Assets,,55634100,,,70440400,,83942400,,89902500,,,108141000,120898500,,122685500,117038400,,,,147108300,,,,,,,,
Noncurrent Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right of Use Assets,,,,,,,,,,,,,,,,3227300,2790900,3381300,3453100,3256100,3422500,4071800,4072100,4270300,4077600,4483800,4707400,4531400
Capital Work in Progress,,,,3536400,3677100,5350200,5270300,7410100,9536200,7192300,5582600,5123500,3446700,3310500,3261100,4210000,4698600,5708400,3539800,3829000,5100800,6891700,7913500,8643200,10971200,12127600,14367000,15862800
(D Investment Property,,,,,,,,,,,,,,,,,,,,,,,,,,,566600,
"ASSETS Non-Current ASSETS (a) Property, Plant and Equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,50321400,
"Property, Plant and Equipment",,42409100,,39959400,39611600,41144300,42214900,46048500,46217700,50086900,52574400,53153500,52422800,51143500,52806400,48053200,45847600,46181400,48028400,48387900,47377500,45836000,44113800,46419400,47117000,48138800,,55866600
Investment Property,,,,,,,,,,,,,,,,,,,,,,,,,,1112500,,
Investment in Associates,,,,,,1214500,,168200,,124000,104300,96200,93300,2344900,2414200,2349700,2284300,2283800,1007200,458100,1167400,909000,909500,1300500,1457800,1404700,1583200,1117500
Investments,,,,,,1271900,,1584600,,1232200,,1470100,,1938600,,2195300,,1953000,,3098200,,4816200,,5121600,,4990700,,4322400
(I) Financial assets (I) Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,5215400,
Deferred Tax Assets,,,,28800,283900,804400,541000,786900,1248900,1681300,1406200,1876500,1825900,2014100,2197900,2397700,2731800,3146900,3516400,4488300,4670000,4565400,4876700,5878000,5765500,6448700,6973600,9010200
"Current Tax Assets, Net",,,,,,1639500,,2347100,2560200,,1973600,3886000,,3455900,3573800,4686200,4282400,4681600,5278400,4836200,4401400,5480000,5205800,4636700,2843400,,5046700,
Non Current Tax Assets Net,,,,,,,,,,,,,,,,,,,,,,,,,,4878600,,5732800
Loans,,,,3014900,,338500,,418400,,394800,,416600,,494200,,523900,,400,,400,,,,169800,,325400,,27600
Long-term Loans and Advances,,2062900,,,3471700,,2806800,,705900,,331800,,463200,,516100,,531000,,500,,,,163400,,480200,,364300,
Cgoodwill,,,,24930900,,11293800,,27055700,,26966700,,28147400,,28691400,,29340000,,30072900,,31379300,,29838600,,31120400,,32702700,,37544200
"Goodwill on Consolidation, Net",,26192900,,,23780300,,25559000,,29370100,,26864100,,29373400,,28942300,,29092400,,30313800,,31431700,,29658400,,32509900,,34513100,
Intangible Assets,,,,74400,79200,,1423300,,,,,18190500,,15630200,15755700,14965400,14513900,14302100,13210000,13195800,11641900,,,,,,,
Other Intangible Assets,,,,,,14859300,,20579000,32194600,17848800,16115600,,17228900,,,,,,,,,11260100,11105600,13126000,15704600,13626100,14545000,26401400
Intangible Assets Under Development,,,,882000,1151500,458800,519000,13198600,731400,9637500,9910500,4689800,5214300,3451300,4512700,4035300,3955400,3980500,4265400,3832800,4841300,4041300,3873900,2884000,2891800,3535100,4680300,4559400
Other Non-current Assets,,1143700,,1114500,1207500,1614800,1221900,2498900,2490000,2922000,2310000,1812700,1663200,1341700,1595600,1916400,1964400,1555700,1798400,2189100,2622400,2581700,2880600,2972500,2551700,4375900,5145000,6572200
Other Financial Assets,,,,,,888200,,762800,,1137700,804700,1591400,1790500,932100,603300,420400,460400,958300,928500,4170400,1004800,993200,3072700,5085600,4303500,2834600,4410900,11941000
Non-current Investments,,4347000,,3971400,3634600,,2651300,,1712900,,1240200,,1609000,,1984300,,2144600,,1974500,,3282800,,4701600,,5302800,,,
Investment Properties,,,,,,11100,,10700,10600,17400,10400,10300,1280700,618500,611800,1243000,1230200,1217500,1204600,614200,605400,598300,1148600,1136100,1123700,,,
Assets Classified as Held for Sale,,,,,,,,,,,,,,,,23400,,,,167100,,,5393500,,,,,
Financial Assets: Others,,,,,,,,,745500,,,,,,,,,,,,,,,,,,,
Advance Tax (Net),,,,,,,,,,3082800,,,2714200,,,,,,,,,,,,,,,
Assets of Disposal Group Classified as Held for Sale,,,,,,,,,,,,,,,,,,,,,,,,,,,22100,
Total Assets,,131789700,,134032400,147337800,156470900,166149900,211281800,217426500,210370700,225947600,228605500,240024600,239633200,241460700,236625600,254078200,251518900,262382300,271011200,280628200,294632800,313770900,327178200,346552800,373870400,401642200,424959800
Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Payables,,9647600,,9795300,12068400,14610200,17030900,14758200,14896100,15711400,17588700,,22237500,,,,,,,,,,,,,,,
Total Outstanding Dues of Micro\ Enterprises and Small Enterprises,,,,,,,,,,,,21007400,,286900,,811900,,693300,,1751200,,2259100,,2535400,,2786000,,2151800
Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,,,,,,,,183800,,19193000,,22006200,,19974900,,23329800,,23086100,,22204400,,,,
Total Outstanding Dues of Creditors Other Than Micro Enterprises,,,,,,,,,,,,,,,,,,,,,,,,,,,28185700,
Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small,,,,,,,,,,,,,,,,,,,,,,,,,,25588900,,30147200
Trade Payables Total Outstanding Dues of Micro Enterprises and Small Enterprises,,,,,,,,,,,,,,,173500,,1313600,,1519100,,2322000,,2579300,,2741800,,2164900,
Trade Payables - Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,,,,,,,,,,,20994000,,22314500,,25972100,,21685700,,24174200,,24011500,,,
Current Liabilities (a) Financial Liabilities (i) Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,764300,
Short-term Borrowings,,10850000,,9104700,16145600,13924800,13342800,49696700,7895700,4672300,11356900,4358700,5113400,4861600,4153000,4471500,8284500,5528100,6980300,4079000,8406700,,6737900,2470200,1520100,801200,,1405000
Iborrowings,,,,,,,,,,,,,,,,,,,,,,5203600,,,,,,
Lease Liabilities,,,,,,,,,,,,,,,,,,609600,744300,733600,713700,739400,710100,869700,914600,1056000,930100,913200
"Current Tax Liabilities, Net",,,,,,375400,,135700,57800,240100,236800,30800,7400,587400,2222500,93400,1871700,180600,1854000,206200,1350200,165800,1749600,220300,1466700,767500,3273300,54500
Others,,,,,,,,,5401200,,,,,,,,,,,,,,,,,,,
Short-term Provisions,,1149500,,2649100,1053000,1848300,2442700,3108500,3161200,4023700,4134500,6271100,6084000,7367600,8534600,9481900,9749300,10783200,11132800,12210000,11613300,12866700,13561600,16117600,14964200,17166100,18309500,22591500
Other Current Liabilities,,4710300,,4086700,4374700,3409500,5158400,2683000,5979500,2663600,3008700,2268500,1684400,1434300,1873100,1762900,1764900,3592200,2801700,3110600,2729600,2841300,2991700,3118700,2531500,2928500,3587400,3005000
Other Financial Liabilities,,,,,,3449300,,7378400,,6425900,6558200,4201900,5546300,3984300,4878400,5303600,4362800,4549500,2982300,3708300,4264400,3170700,3087800,4921400,6397600,3745400,,9867700
Liabilities Directly Associated With Assets Classified as Held for Sale,,,,,,,,,,,,,,,,,,4100,5400,3400,6400,,892600,,,,,
Liabilities of Disposal Groups Classified as Held for Sale,,,,,,,,,,,,,,,,,,,,,,764000,,,,,,
Small Enterprises - Other Financial Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,5757100,
Total Current Liabilities,,26357400,,,33641700,,37974800,,37391500,33737000,42883800,38322200,40673000,37715100,42829100,,49661300,,,,,,,,54548000,54839600,62972300,70135900
Noncurrent Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term Borrowings,,1588500,,3178700,3075600,3092800,2154800,2218800,39033300,36453600,36485700,36621100,41416300,38300700,31421000,23692800,23408500,12027500,4015400,4162400,120400,,,,101800,119800,,1174700
Liabilities Non- Current Liabilities (a) Financial Liabilities (i) Borrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,178300,
Lease Liabilities,,,,,,,,,,,,,,,,,,1978900,1763700,1582800,1435800,2088200,2160900,2254200,2077300,2404900,2801000,2644800
Deferred Tax Liabilities,,3233000,,3118500,3069100,3072600,3979100,9757300,9958500,7568900,6957000,5033100,4810200,4253200,3374400,3652100,3060900,2966100,3101000,2439600,1678400,1632800,1412400,1852900,1927300,535300,416800,1532700
Minority Interest,,131200,,495800,667700,3316500,2282400,3500900,4983300,4382300,3851000,3524400,3499500,3319700,3133600,2942800,2589000,2590600,2403800,2756900,2850900,3057600,2697600,959000,936800,958000,1058400,882900
Other Long-term Liabilities,,308700,,325700,327100,929800,421800,1014200,400000,936500,904400,932500,894600,833100,679200,674800,668100,636100,547400,514600,486100,521100,576900,619400,582300,567500,595800,489700
Other Long-term Liabilities,,,,,,,,,935000,,,,,,,,,,,,,,,,,,,
Provisions,,729700,,774400,917400,1103500,2121700,1446800,1623900,1405200,1429500,1379200,1275400,1214100,1284200,1332700,1363400,1161700,1224900,1002200,1016500,1021600,1115400,1292600,1428300,1486900,1572000,1575600
Other Financial Liabilities,,,,,,763000,,421100,,450600,500600,501100,40600,3874500,2775800,2769000,2563300,977200,1011800,1003700,1105300,1137000,1068900,678100,1330000,1023900,2857700,2204000
CIQ Balancing Difference - Total Long-Term Liabilities,,,,,,,,,,,,,,,,,,,,,,,,-2000,,,,
Shareholders' Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Stock - Par Value,1605800,1605800,1605800,1605800,1605800,1605900,1606200,1606800,1608400,1609000,1609400,1610200,1610500,1611400,1612200,1612500,1612700,1612900,1613300,1613600,1614000,1614300,1614700,1616700,1615100,1615200,1615500,1615600
Reserves & Surplus,,97835400,,98897700,104033400,,115609100,,,,,,,,,,,,,,,,,,,,,
Other Equity,,,,,,104846800,,113555400,121492600,123827600,131326200,140681700,145804500,148511400,154351200,156017500,169150900,181652400,192709000,206803300,217228800,232463500,246639300,265449600,282005900,310319300,327574400,342703900
Subscribed Share Capital - Common,,,,,,122500,,,,,,,,,,,100,,,,,,,,,,,
Total Shareholders Equity,1605800,99441200,1605800,100503500,105639200,106575200,117215300,115162200,123101000,125436600,132935600,142291900,147415000,150122800,155963400,157630000,170763700,183265300,194322300,208416900,218842800,234077800,248254000,267066300,283621000,311934500,329189900,344319500
Total Liabilities & Shareholders Equity,,131789700,,134032400,147337800,156470900,166149900,211281800,217426500,210370700,225947600,228605500,240024600,239633200,241460700,236625600,254078200,251518900,262382300,271011200,280628200,294632800,313770900,327178200,346552800,373870400,401642200,424959800
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
