,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strides Pharma Science Limited | Income Statement (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSEI: STAR (MI KEY: 4810993; SPCIQ KEY: 1507410),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2015 FQ1,2015 FQ2,2015 FQ3,2015 FQ4,2016 FQ1,2016 FQ2,2016 FQ3,2016 FQ4,2017 FQ1,2017 FQ2,2017 FQ3,2017 FQ4,2018 FQ1,2018 FQ2,2018 FQ3,2018 FQ4,2019 FQ1,2019 FQ2,2019 FQ3,2019 FQ4,2020 FQ1,2020 FQ2,2020 FQ3,2020 FQ4,2021 FQ1,2021 FQ2,2021 FQ3,2021 FQ4,2022 FQ1,2022 FQ2,2022 FQ3,2022 FQ4,2023 FQ1,2023 FQ2,2023 FQ3,2023 FQ4,2024 FQ1,2024 FQ2,2024 FQ3,2024 FQ4,2025 FQ1,2025 FQ2,2025 FQ3,2025 FQ4,2026 FQ1,2026 FQ2,2026 FQ3,2026 FQ4
Currency Translation Gain(Loss),,,,,,,,,,,,,,,,6300,17100,-43700,-111000,4100,-26.94,10.84,14.26,-186.52,38.93,48.83,11.93,-19.52,51.17,-124.88,,,,,,,,,,,,,,,,,,
Finance Costs,-104358,-131072,-87628,-151290,-277300,-189164,-539400,-617000,-559400,-579700,-440800,-478700,-524200,-485800,-497700,-454700,-167500,-172800,-219000,-233600,-353.4,-404.2,-396.33,-403.27,-369.1,-368.66,-346.81,-416.08,-414.54,-435.55,-422.52,-494.83,-545.41,-676.4,-584.44,-805.17,-764.2,-785.85,-697.09,-710.99,-725.24,,-521.82,-503.22,-474.6,,-433.79,-415.79
Ciq Balancing Calc.-expenses,1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(E) Finance Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-738.23,,,,-461.27,,
Recovery/(write Off) of Loans and Advances Given in Earlier Years (net),,,22745,,13100,,,400,48700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Income,125703,103467,103098,53402,292200,205854,93800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Expenses,-489056,-604611,-577141,-673723,-1279400,-728495,-1561400,-2292200,-1561100,-1885100,-1316000,-1459800,-1326100,-1622700,-1556000,-1794900,-958500,-1207500,-1394400,-1520400,-1492.1,-1599,-1788.84,-1642.11,-1987.48,-1895.87,-1936.91,-2240.91,-2332.86,-2495.31,-2118.21,-2391.21,-2246.59,-2201.9,-1999.96,-2544.53,-2109.24,-2282.78,-2146.21,-2126.47,-2059.05,,-2475.88,-2506.94,-2318.61,,-2662.16,-3004.04
Merger and Acquisition Costs,,-50644,-42420,-16337,-40100,-36670,-57100,-87400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Business Combination and Restructuring Expenses,,,,,-168200,,,,-45900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exceptional Items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.39,-59.79,-1649.28,-100.67,-80.71,,,-24.29,-274.15,,,-32.99,-64.05
Exceptional Items-net Gain/(loss),,,,,,,,,,-122300,-114800,-76300,-33600,-122500,-63200,-216500,-29500,-49900,136100,159400,-66.46,834.36,156.29,-1700.99,449.18,131.33,-137.66,-9.32,-915.44,-599.03,-154.32,-769.46,-657.73,145.2,415.6,,,,,,,,,,,,,
Fair Valuation of Derivative Instruments,,,,,-4400,,-8100,-15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exceptional Items-refer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983.77,-38.72,,,-83.67,-87.72,,
Exchange Fluctuation (gain)/loss - Net,-41118,-62660,-34103,5794,-23100,-101979,-57200,270400,-47200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claims on Discontinued Products,,,-39084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reversal of Option Cost,,198963,596,-6486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unwinding of Discount on Gross Obligations Overwritten Put Options to Nci,,,,,,,,,-16700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Earnings before Taxes,271476,483599,453045,330696,190700,318847,679200,430900,485300,938500,771700,995000,123900,265400,493500,-83500,-64100,-108400,276800,519500,284.84,1404.26,1036.3,-2178.57,1051.25,683.18,459.31,560.65,-2441.09,-1747.46,-1311.36,-1025.22,-1634.04,-380.72,-780.16,-67.08,3.19,-1568.97,215.24,636.63,1820.73,862.09,1128.93,1032.5,1219.44,1531.17,2455.06,1466.02
Taxes and Other Expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provision for Income Tax,-81619,-848089,-263594,-221749,-75500,-129590,-95300,-170200,-133000,-97700,-374500,-206200,-21800,-34000,-326600,-117700,-17900,-17100,-95100,-159100,-155.04,-160.76,-81.06,-12.12,-68.1,-76.73,-68.49,-113.74,-40.94,-18.54,18.7,-230.37,-41.59,181.15,-61.66,-227.52,-71.37,-139.72,-111.65,-93.72,-155.31,-151.47,-121.42,-161.91,-108.8,-227.39,-276.46,-166.11
Provision for Income Tax,,-60926,,,,,,-25600,45000,-31400,139500,127100,-20600,-20200,306500,167300,153200,72500,97400,234600,123.8,87,-31.9,116.79,35.27,15.69,-39.25,-1.16,396.34,86.18,26.08,1545.18,322.33,202.89,20.76,156.65,-25.42,214.14,-45.8,-31.51,-34.84,12.1,-116.63,-45.68,-55.7,11.46,-97.07,-21.59
"Income(Loss) from Equity Investments, After-Tax",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-349.8,-15.84,,,,0.99,,,
Share of Profit/loss from Associates and Joint Ventures,,,,,-15500,,-1400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Share of Loss of Joint Ventures and Associate (net of Tax),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-125.49,,,,,,,,,
"Share of Profit/Loss of joint venture and associates, net of taxes - (net)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.52,31.27,,,-0.31,14.49
Minority Interest (After Tax),,-154,986,5028,6500,538,6500,111500,-64300,-113400,-88500,-195800,-52200,-31400,-26300,-88800,-17500,-33100,-30100,28100,7.93,8.07,15.6,26.4,17.22,39.59,26.9,23.42,33.69,54.23,49.87,2.6,-5.62,39.24,20.8,42.53,22.47,181.12,-43.91,77.32,18.91,-4.29,-20.94,-34.24,-59.85,-39.9,-60.15,-23.37
Earnings of Discontinued Operations,-22566,8403860,90623,-37590,,,126200,-167600,-72600,-72600,-762400,-107000,-99500,-84300,-572100,-88700,-76600,-68800,-65600,-202400,-158.59,-25.61,,,,,,,,,,,,,,,,,10.37,-67.28,,,,,,,,
Earnings of Discontinued Operations,,,,,,,,-23200,,-23300,153900,499000,75800,22600,-318200,62500,-20100,55100,32600,29100,-65.89,,,,,,,,,,,,,,,,,,56.44,9.39,,,,,,,,
Gain(Loss) due to Disc. Ops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31881.07,,,,,,,
Gain on Disposal of Assets/settlement of Liabilities Attributable to the Discontinued Operations,,,,,,,,,,140800,2033500,11100,,-32200,1298000,5837300,-100,-20300,2718200,25300,,114.2,,8.24,,147.72,,,,,,,,185.69,,,,,541.48,,,,,,,,,
Profit/loss After Tax from Discontinued Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.31,,,,,,,,,,,,,,,,,,,,
Gain on Disposal of Assets/settlement of Liabilities Attributable to the Discontinued Operations (net),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,
Net Income (Loss),167291,7978290,190437,113975,106200,189795,589000,155800,260400,740900,1873200,1123200,5600,85900,854800,5688400,-43100,-120100,2934200,475100,37.05,1427.16,938.94,-2039.26,1035.64,809.45,378.47,460.86,-2052,-1625.59,-1216.71,292.19,-1358.92,228.25,-800.26,-95.42,-71.13,-1313.43,496.68,181.75,33514.72,718.43,879.46,821.94,996.08,1275.34,2021.07,1269.44
Supplementary Info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),291249,425545,439218,492203,398500,440806,1121000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS - Continuing Operations,3.19,-7.14,,,1.34,3.18,,3.88,3.73,7.79,5.02,8.06,0.33,2.01,5,-1.37,0.9,-0.52,3.23,7.1,3.11,14.95,10.48,-22.86,11.56,7.39,4.22,5.23,-22.88,-18.12,-13.55,3.25,-15.13,0.47,-8.86,-1.06,-0.79,-14.54,-1.22,2.6,17.77,7.81,9.56,8.92,10.81,13.84,21.93,13.77
Basic EPS - Discontinued Operations,,,,,,,,-2.13,-0.82,0.5,15.94,4.51,-0.27,-1.05,4.55,64.93,-1.38,-0.82,29.54,-1.79,-2.7,0.99,,0.09,,1.64,,-0.09,,,,,,2.07,,,,,6.65,-0.62,346.87,,,,,,,
Basic Earnings Per Share – Total,2.81,133.94,3.2,1.91,,3.18,5.52,1.74,2.91,8.29,20.96,12.57,0.06,0.96,9.55,63.56,-0.48,-1.34,32.77,5.31,0.41,15.94,10.48,-22.77,,9.03,4.22,5.14,,-18.12,-13.55,,,2.54,-8.86,-1.06,,,5.43,1.98,364.65,7.81,9.56,,10.81,13.84,21.93,
Diluted EPS - Continuing Operations,3.18,,,,1.32,3.17,,3.87,3.72,7.77,5.01,8.04,0.33,2.01,4.99,-1.37,0.9,-0.52,3.23,7.09,3.11,14.95,10.48,,11.56,7.38,4.22,5.23,-22.88,-18.12,-13.55,3.25,-15.13,0.47,-8.86,-1.06,-0.79,-14.54,-1.22,2.6,17.74,7.8,9.55,8.92,10.81,13.84,21.92,13.77
Diluted EPS - Discontinued Operations,,,,,,,,-2.13,-0.81,0.51,15.91,4.5,-0.27,-1.05,4.55,64.91,-1.38,-0.82,29.53,-1.79,-2.7,0.99,,,,1.65,,-0.09,,,,,,2.07,,,,,6.64,-0.62,346.22,,,,,,,
Diluted Earnings Per Share – Total,2.8,133.53,3.19,1.91,,3.17,5.51,1.74,2.91,8.28,20.92,12.54,0.06,0.96,9.54,63.54,-0.48,-1.34,32.76,5.3,0.41,15.94,10.48,,,9.03,4.22,5.14,,-18.12,-13.55,,,2.54,-8.86,-1.06,,,5.42,1.97,363.96,7.8,9.55,,10.81,13.84,21.92,
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
