,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torrent Pharmaceuticals Limited | Balance Sheet (As Reported),,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSE: 500420 (MI KEY: 4811331; SPCIQ KEY: 878525),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: S&P Capital IQ - Standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Category: Fiscal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Period Type: Quarters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sort Order: Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency: Indian Rupee (INR),,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Capital IQ - Standard,2014 FQ1,2014 FQ2,2014 FQ3,2014 FQ4,2015 FQ2,2015 FQ4,2016 FQ2,2016 FQ4,2017 FQ2,2017 FQ4,2018 FQ2,2018 FQ4,2019 FQ2,2019 FQ4,2020 FQ2,2020 FQ4,2021 FQ2,2021 FQ4,2022 FQ2,2022 FQ4,2023 FQ2,2023 FQ4,2024 FQ2,2024 FQ4,2025 FQ2,2025 FQ4,2026 FQ2,2026 FQ4
Loans,,,,,,19400,,16900,,21500,,31200,,37900,,36400,,30800,,26100,,17100,,30500,,42200,,53000
Loans and Advances,,970000,,849500,1240000,,1130000,,210000,,30000,,40000,,40000,,30000,,30000,,30000,,30000,,40000,,50000,
Inventories,,9980000,,10060600,10240000,10671700,12110000,13579800,15820000,15591500,15430000,19663000,20330000,19351500,19600000,21482200,25410000,26812000,26120000,24623200,23280000,22296400,22180000,22790700,22710000,25412500,24670000,31381900
Other Current Assets,,1900000,,2590000,3200000,2730700,3820000,3819300,4050000,3429600,3920000,5206400,4170000,4312300,4010000,4295000,5210000,4505100,3570000,3122100,2310000,3025900,3550000,3043000,3380000,3361300,4810000,6290000
Other Financial Assets,,,,,,2606200,,660500,1510000,3269600,1960000,1593100,660000,642600,1170000,816900,650000,1207900,1750000,1679800,910000,1084100,1540000,2006800,2480000,1828500,2390000,5576000
Current Assets Held for Sale,,,,,,,,,10000,,,,,,,,,,20000,,1310000,,150000,,,,210000,
Noncurrent Assets Held for Sale,,,,,,1900,,8200,,900,,900,,100,,18600,,17200,,1296600,,154600,,,,,,12000
Total Current Assets,,30570000,,34044800,34520000,,51670000,,54080000,,51680000,52624100,57730000,50375400,50350000,,57180000,,53590000,,,,,56114800,58790000,,,
Noncurrent Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Right of Use Assets,,,,,,,,,,,,,,,1490000,1354200,1400000,1255500,1240000,1275100,1410000,1449300,1460000,1575700,1500000,2464100,2930000,6617600
Capital Work in Progress,,,,5341100,,6783300,,10415800,7810000,4629000,5090000,4232100,4490000,4793100,5250000,5766100,6870000,7439000,5320000,5443400,6090000,6882400,2630000,2808000,4120000,3672600,4880000,4574900
"Property, Plant and Equipment",,12760000,,8467200,34680000,8826300,36850000,9751500,14850000,18714100,19250000,24168000,24310000,28006800,27310000,28178900,27550000,27577900,29700000,25750800,26000000,26266700,30460000,31394000,30670000,32092400,31650000,42467700
Non-current Investments,,,,300,,600,,900,,900,,900,20000,20900,20000,20900,20000,420900,420000,423300,420000,427000,430000,318000,420000,435700,440000,826200
Deferred Tax Asset-net,,460000,,656400,1020000,2667400,1720000,2831900,4510000,3098800,2630000,2759200,3780000,3698500,4070000,4332100,3860000,4216600,4020000,4936500,5210000,5436700,5760000,5551300,5810000,5941500,6530000,6982700
"Income Tax Assets, Net",,,,,,,,,,,660000,,1060000,,960000,,790000,,330000,,1140000,,1050000,,,,,
Non Current Tax Assets Net,,,,,,,,,,818200,,902800,,1203900,,1888800,,558900,,1222100,,,,,,,,
Other Tax Assets (net),,,,,,,,,,,,,,,,,,,,,,1358000,,3087900,2250000,2263500,2400000,2269900
Loans Loans,,,,,,9900,,11300,,21600,,24800,,26100,,22900,,20200,,17500,,25000,,25100,,33700,,34000
Long-term Loans and Advances,,840000,,1294700,1200000,,2040000,,190000,,20000,,30000,,20000,,20000,,20000,,20000,,20000,,30000,,40000,
Goodwill,,,,,,1248800,,1248800,1090000,1595000,1580000,3985200,4150000,3347900,3360000,3420900,3410000,3412300,3420000,2594800,2580000,3375000,3370000,3380300,3390000,3388800,3400000,39896200
Goodwill on Consolidation,,,,,160000,,2310000,,160000,,,,,,,,,,,,,,,,,,,
Intangible Assets,,,,286200,,,,,17000000,,17670000,,48510000,,44170000,,40360000,,36500000,,34230000,,47510000,,42440000,,39110000,
Other Intangible Assets,,,,,,17861700,,17590500,,16575300,,50393600,,46122400,,42377200,,38400600,,34605800,,50123500,,45031100,,41523700,,242799300
Intangible Assets Under Development,,,,,,,,,,565900,610000,2237300,2460000,1378100,1530000,1353200,1420000,1454800,1450000,854800,770000,771600,890000,797100,900000,1108800,1320000,1836300
Other Non-current Assets,,660000,,607400,530000,638100,590000,1152500,1250000,1156200,970000,893800,1070000,775100,300000,310200,470000,236500,230000,259300,430000,224700,440000,153800,330000,418300,260000,309000
Other Financial Assets,,,,,,620100,,685300,960000,1051200,330000,210400,2900000,1461000,930000,1262800,1370000,521100,590000,668500,400000,486800,550000,368700,230000,328600,270000,443900
Investment Properties,,,,,,,,,,,,,,,,,,,,,,,,,,,,131000
Total Assets,,45290000,,50698100,72110000,79641400,95180000,90578800,101900000,97020900,100490000,142432200,150510000,141209200,139760000,140097400,144720000,140746500,136830000,130998400,132190000,150118500,147440000,150605800,150880000,149897400,155150000,443119600
Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trade Payables,,13590000,,14291300,17720000,18277200,23760000,22602200,24620000,17493200,18190000,,,,,,,,,,,,,,,,,
Total Outstanding Dues of Micro\ Enterprises and Small Enterprises,,,,,,,,,,,,,,,,,,,,,,,,161200,200000,231300,630000,1625200
Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,,,,,,,,,,,,,,,,,,,,20732000,21680000,17968900,16120000,21950900
Trade Payables Total Outstanding Dues of Micro Enterprises and Small Enterprises,,,,,,,,,,,,73400,,71400,,131900,230000,199600,150000,203600,130000,179600,200000,,,,,
Trade Payables - Total Outstanding Dues of Creditors Other Than Micro Enterprises and Small Enterprises,,,,,,,,,,,,,,20896000,,20356200,22860000,20468500,17690000,16540800,14640000,16608400,16410000,,,,,
Trade Payables - Due to Micro and Small Enterprises,,,,,,,,,,,,,50000,,100000,,,,,,,,,,,,,
Trade Payables - Due to Others,,,,,,,,,,,,20409000,22390000,,19530000,,,,,,,,,,,,,
Short-term Borrowings,,4940000,,2104300,1360000,3190700,,33200,30000,,2500000,16256000,16800000,9341100,3520000,10908500,2950000,18843900,19440000,18948800,16130000,28010800,23060000,23336400,16340000,18343400,15450000,31470700
Lease Liabilities,,,,,,,,,,,,,,,,,,264700,200000,147300,170000,183300,220000,200600,180000,303700,340000,371900
"Current Tax Liabilities, Net",,,,,,237100,,722400,,629800,,492500,,789900,,351200,,539900,,414800,,313100,,1679300,,955700,,1208800
Liabilities for Current Tax (net),,,,,,,,,150000,,320000,,310000,,820000,,310000,,470000,,300000,,80000,,910000,,1300000,
Short-term Provisions,,840000,,1633900,1450000,801900,3540000,1274200,1470000,2388200,2690000,3274000,2970000,4142200,4100000,4185800,4270000,4310600,3910000,4110300,3810000,3937100,4050000,4001400,4350000,4081300,4600000,4987900
Other Current Liabilities,,4530000,,,3450000,,5690000,,1110000,,580000,,1280000,,900000,,900000,,880000,,920000,,1230000,,1770000,,1260000,
Other Financial Liabilities,,,,,,3918800,,7591800,8210000,6144700,6480000,10520700,15400000,15233800,17080000,17537800,17250000,3008400,2930000,2792700,3400000,4209800,3730000,2846600,3040000,3926200,4650000,20055400
Other Current LiabilitiesOther Current Liabilities,,,,3716300,,619800,,631000,,726700,,996100,,1178800,,1070200,,1280600,,992600,,1030900,,1295000,,1361400,,1762500
Total Current Liabilities,,23900000,,21745800,23980000,27045500,32990000,32854800,35590000,27382600,30760000,52021700,59200000,51653200,46050000,54541600,48770000,48916200,45670000,44150900,39500000,54473000,48980000,54252500,48470000,47171900,44350000,83433300
Noncurrent Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term Borrowings,,4190000,,7444600,21050000,21728700,22740000,18500800,20640000,22408300,20990000,41114600,40160000,39129200,39570000,32752200,36570000,29410700,23940000,21232200,24050000,24962200,21100000,16037800,14140000,11917500,10450000,116511700
Lease Liabilities,,,,,,,,,,,,,,,,,,222000,290000,368200,480000,529300,510000,644600,600000,1458600,1980000,1900700
Deferred Tax Liabilities,,590000,,474800,1240000,2282100,2860000,1717500,2890000,1014100,470000,400,,75000,,,,,830000,1935600,3040000,4019400,5600000,6560500,7930000,8287200,7850000,56700400
Minority Interest,,,,4000,,4300,,4600,,4900,,5200,10000,,,,,,,,,,,,,,,91964000
Provisions,,1530000,,1904300,2000000,2074900,2660000,2463600,2450000,2630400,2740000,2866600,3030000,2885200,3160000,3383400,3530000,3696200,3770000,3687400,3900000,3930600,4080000,4446900,4460000,5012700,5410000,7645500
Other Non-current Liabilities,,70000,,100300,70000,700,90000,400,,100,,24200,50000,77100,70000,81800,70000,54600,40000,44200,10000,14600,10000,9600,10000,4600,50000,224000
Other Financial Liabilities,,,,,,75600,,96100,100000,79200,100000,177600,710000,146000,180000,1106200,470000,75100,100000,50400,300000,208700,90000,92400,230000,138000,570000,855700
Shareholders' Equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Common Stock - Par Value,420000,850000,850000,846200,850000,846200,850000,846200,850000,846200,850000,846200,850000,846200,850000,846200,850000,846200,850000,846200,1690000,1692300,1690000,1692300,1690000,1692300,1690000,1692300
Reserves & Surplus,,14160000,,18178100,22920000,,32990000,,,,,,,,,,,,,,,,,,,,,
Other Equity,,,,,,25583400,,34094800,39380000,42655100,44580000,45375700,46500000,46397300,49880000,47386000,54460000,57525500,61340000,58683300,59220000,60288400,65380000,66869200,73350000,74214600,82800000,82192000
Total Shareholders Equity,420000,15010000,850000,19024300,23770000,26429600,33840000,34941000,40230000,43501300,45430000,46221900,47350000,47243500,50730000,48232200,55310000,58371700,62190000,59529500,60910000,61980700,67070000,68561500,75040000,75906900,84490000,83884300
Total Liabilities & Shareholders Equity,,45290000,,50698100,72110000,79641400,95180000,90578800,101900000,97020900,100490000,142432200,150510000,141209200,139760000,140097400,144720000,140746500,136830000,130998400,132190000,150118500,147440000,150605800,150880000,149897400,155150000,443119600
"Data shown on this page is extracted directly from the company’s documents. S&P Global Market Intelligence makes every effort to line up fields, captions and headers that represent the same data over time, despite variations in how the company may report these items in different documents. In certain instances the variation in the company’s presentation over time may be too significant, potentially resulting in repeating and/or disordered items. Despite possible issues with the presentation, S&P Global Market Intelligence, as always, stands by its commitment to the quality of the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
