company,period_label,period_type,period_end,statement,line_item,value,value_period,currency,units,scope,source,source_url,date,page,original_file,sha256,direct_derived,notes,__period__
Formycon,9M_2024,9M,2024-09-30,Income Statement,Revenue,41.1,9M,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-11-28,10,Formycon_9M_2024_Presentation.pdf,4d04b28d4b500f4da60ff6dc5df7564d499cddcb1857cd9e06b1fcc6a44b463b,direct,Extracted from 9M_2024 group_presentation,2024-09-30
Formycon,9M_2024,9M,2024-09-30,Income Statement,EBITDA,-17.7,9M,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-11-28,10,Formycon_9M_2024_Presentation.pdf,4d04b28d4b500f4da60ff6dc5df7564d499cddcb1857cd9e06b1fcc6a44b463b,direct,Extracted from 9M_2024 group_presentation,2024-09-30
Formycon,9M_2024,9M,2024-09-30,Income Statement,Adjusted EBITDA,2.9,9M,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2024-11-28,10,Formycon_9M_2024_Presentation.pdf,4d04b28d4b500f4da60ff6dc5df7564d499cddcb1857cd9e06b1fcc6a44b463b,direct,Extracted from 9M_2024 group_presentation,2024-09-30
Formycon,FY2024_HGB,FY,2024-12-31,Income Statement,Revenue,37917.0,FY,EUR,thousand,parent_HGB,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-04-30,4,Formycon_FY2024_FinancialStatements_HGB.pdf,2953121a5a0caca06bc9d5de57c3a47d04210459b896df2c7a8b78bd60302187,direct,Extracted from FY2024_HGB parent_HGB,2024-12-31
Formycon,FY2024_HGB,FY,2024-12-31,Income Statement,Net Income / Comprehensive Income,-166148.0,FY,EUR,thousand,parent_HGB,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-04-30,4,Formycon_FY2024_FinancialStatements_HGB.pdf,2953121a5a0caca06bc9d5de57c3a47d04210459b896df2c7a8b78bd60302187,direct,Extracted from FY2024_HGB parent_HGB,2024-12-31
Formycon,Q1_2025,Q1,2025-03-31,Income Statement,Revenue,5.3,Q1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-05-12,5,Formycon_Q1_2025_EarningsCall.pdf,60f9095033213ae41236346f0494af025526af53d4c5786c5476b667d8540384,direct,Extracted from Q1_2025 group_presentation,2025-03-31
Formycon,Q1_2025,Q1,2025-03-31,Income Statement,EBITDA,-13.2,Q1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-05-12,5,Formycon_Q1_2025_EarningsCall.pdf,60f9095033213ae41236346f0494af025526af53d4c5786c5476b667d8540384,direct,Extracted from Q1_2025 group_presentation,2025-03-31
Formycon,Q1_2025,Q1,2025-03-31,Income Statement,Adjusted EBITDA,-11.8,Q1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-05-12,5,Formycon_Q1_2025_EarningsCall.pdf,60f9095033213ae41236346f0494af025526af53d4c5786c5476b667d8540384,direct,Extracted from Q1_2025 group_presentation,2025-03-31
Formycon,H1_2025,H1,2025-06-30,Income Statement,Revenue,9.0,H1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-08-13,8,Formycon_H1_2025_Report.pdf,5ad323a7a059995ae9570b557e73cd41fb37249a01fc343edff77e380bffe536,direct,Extracted from H1_2025 group_presentation,2025-06-30
Formycon,H1_2025,H1,2025-06-30,Income Statement,EBITDA,-17.9,H1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-08-13,8,Formycon_H1_2025_Report.pdf,5ad323a7a059995ae9570b557e73cd41fb37249a01fc343edff77e380bffe536,direct,Extracted from H1_2025 group_presentation,2025-06-30
Formycon,H1_2025,H1,2025-06-30,Income Statement,Adjusted EBITDA,-19.2,H1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-08-13,8,Formycon_H1_2025_Report.pdf,5ad323a7a059995ae9570b557e73cd41fb37249a01fc343edff77e380bffe536,direct,Extracted from H1_2025 group_presentation,2025-06-30
Formycon,9M_2025,9M,2025-09-30,Income Statement,Revenue,19.5,9M,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-11-13,8,Formycon_9M_2025_Presentation.pdf,653f0b8d473500923994bd73c28278134872c84af811f91bc611a5552dea7b53,direct,Extracted from 9M_2025 group_presentation,2025-09-30
Formycon,9M_2025,9M,2025-09-30,Income Statement,EBITDA,-21.4,9M,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-11-13,8,Formycon_9M_2025_Presentation.pdf,653f0b8d473500923994bd73c28278134872c84af811f91bc611a5552dea7b53,direct,Extracted from 9M_2025 group_presentation,2025-09-30
Formycon,9M_2025,9M,2025-09-30,Income Statement,Adjusted EBITDA,-21.7,9M,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2025-11-13,8,Formycon_9M_2025_Presentation.pdf,653f0b8d473500923994bd73c28278134872c84af811f91bc611a5552dea7b53,direct,Extracted from 9M_2025 group_presentation,2025-09-30
Formycon,FY2025,FY,2025-12-31,Income Statement,Revenue,44476.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Extracted from FY2025 consolidated,2025-12-31
Formycon,FY2025,FY,2025-12-31,Income Statement,Cost of Sales,-40900.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Extracted from FY2025 consolidated,2025-12-31
Formycon,FY2025,FY,2025-12-31,Income Statement,R&D Expenses,-12673.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Extracted from FY2025 consolidated,2025-12-31
Formycon,FY2025,FY,2025-12-31,Income Statement,Selling Expenses,-1316.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Extracted from FY2025 consolidated,2025-12-31
Formycon,FY2025,FY,2025-12-31,Income Statement,Administrative Expenses,-18995.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Extracted from FY2025 consolidated,2025-12-31
Formycon,FY2025,FY,2025-12-31,Income Statement,Other Expenses,-1686.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Extracted from FY2025 consolidated,2025-12-31
Formycon,FY2025,FY,2025-12-31,Income Statement,Other Income,593.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Extracted from FY2025 consolidated,2025-12-31
Formycon,FY2025,FY,2025-12-31,Income Statement,Operating Profit/Loss (EBIT),-23543.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Extracted from FY2025 consolidated,2025-12-31
Formycon,FY2025,FY,2025-12-31,Income Statement,Net Income / Comprehensive Income,-125672.0,FY,EUR,thousand,consolidated,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-04-30,150,Formycon_FY2025_FinancialStatements_sec2.pdf,372d974c457480c020704153488daae315e924dc62169885e95fb565b8d7749d,direct,Extracted from FY2025 consolidated,2025-12-31
Formycon,Q1_2026,Q1,2026-03-31,Income Statement,Revenue,13.1,Q1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-05-28,7,Formycon_Q1_2026_EarningsCall.pdf,019359d7fafeebfeb91c8e27fabe6fef0a0a8d7af3842511003b9af4d4a2d97d,direct,Extracted from Q1_2026 group_presentation,2026-03-31
Formycon,Q1_2026,Q1,2026-03-31,Income Statement,EBITDA,-1.7,Q1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-05-28,7,Formycon_Q1_2026_EarningsCall.pdf,019359d7fafeebfeb91c8e27fabe6fef0a0a8d7af3842511003b9af4d4a2d97d,direct,Extracted from Q1_2026 group_presentation,2026-03-31
Formycon,Q1_2026,Q1,2026-03-31,Income Statement,Adjusted EBITDA,-3.6,Q1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-05-28,7,Formycon_Q1_2026_EarningsCall.pdf,019359d7fafeebfeb91c8e27fabe6fef0a0a8d7af3842511003b9af4d4a2d97d,direct,Extracted from Q1_2026 group_presentation,2026-03-31
Formycon,H1_2026,H1,2026-06-30,Income Statement,Revenue,25.8,H1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-08-12,7,Formycon_H1_2026_EarningsCall.pdf,8fd1d01b27b4eb968b135050d112342103985717492c401d1900745c6ca0bcad,direct,Extracted from H1_2026 group_presentation,2026-06-30
Formycon,H1_2026,H1,2026-06-30,Income Statement,EBITDA,-3.4,H1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-08-12,7,Formycon_H1_2026_EarningsCall.pdf,8fd1d01b27b4eb968b135050d112342103985717492c401d1900745c6ca0bcad,direct,Extracted from H1_2026 group_presentation,2026-06-30
Formycon,H1_2026,H1,2026-06-30,Income Statement,Adjusted EBITDA,-6.9,H1,EUR,million,group_presentation,Formycon IR,https://www.formycon.com/en/investor-relations/publications/,2026-08-12,7,Formycon_H1_2026_EarningsCall.pdf,8fd1d01b27b4eb968b135050d112342103985717492c401d1900745c6ca0bcad,direct,Extracted from H1_2026 group_presentation,2026-06-30
